Date,Right ascension,Declination
1012-01-01 07:00:00,17 30 20.02,-21 44 25.6
1012-01-01 19:00:00,17 32 56.11,-21 47 26.6
1012-01-02 07:00:00,17 35 33.56,-21 50 24.6
1012-01-02 19:00:00,17 38 09.95,-21 53 07.2
1012-01-03 07:00:00,17 40 47.69,-21 55 46.7
1012-01-03 19:00:00,17 43 24.35,-21 58 10.8
1012-01-04 07:00:00,17 46 02.36,-22 00 31.7
1012-01-04 19:00:00,17 48 39.27,-22 02 37.1
1012-01-05 07:00:00,17 51 17.51,-22 04 39.2
1012-01-05 19:00:00,17 53 54.65,-22 06 25.8
1012-01-06 07:00:00,17 56 33.12,-22 08 09.0
1012-01-06 19:00:00,17 59 10.46,-22 09 36.6
1012-01-07 07:00:00,18 01 49.11,-22 11 00.7
1012-01-07 19:00:00,18 04 26.63,-22 12 09.2
1012-01-08 07:00:00,18 07 05.45,-22 13 14.1
1012-01-08 19:00:00,18 09 43.11,-22 14 03.4
1012-01-09 07:00:00,18 12 22.07,-22 14 49.1
1012-01-09 19:00:00,18 14 59.87,-22 15 19.0
1012-01-10 07:00:00,18 17 38.94,-22 15 45.3
1012-01-10 19:00:00,18 20 16.83,-22 15 56.0
1012-01-11 07:00:00,18 22 56.00,-22 16 02.8
1012-01-11 19:00:00,18 25 33.97,-22 15 54.0
1012-01-12 07:00:00,18 28 13.20,-22 15 41.4
1012-01-12 19:00:00,18 30 51.21,-22 15 13.1
1012-01-13 07:00:00,18 33 30.48,-22 14 41.0
1012-01-13 19:00:00,18 36 08.52,-22 13 53.2
1012-01-14 07:00:00,18 38 47.80,-22 13 01.4
1012-01-14 19:00:00,18 41 25.83,-22 11 54.1
1012-01-15 07:00:00,18 44 05.09,-22 10 42.8
1012-01-15 19:00:00,18 46 43.10,-22 09 16.0
1012-01-16 07:00:00,18 49 22.32,-22 07 45.2
1012-01-16 19:00:00,18 52 00.27,-22 05 58.8
1012-01-17 07:00:00,18 54 39.42,-22 04 08.4
1012-01-17 19:00:00,18 57 17.28,-22 02 02.6
1012-01-18 07:00:00,18 59 56.34,-21 59 52.7
1012-01-18 19:00:00,19 02 34.09,-21 57 27.5
1012-01-19 07:00:00,19 05 13.03,-21 54 58.1
1012-01-19 19:00:00,19 07 50.64,-21 52 13.5
1012-01-20 07:00:00,19 10 29.43,-21 49 24.8
1012-01-20 19:00:00,19 13 06.87,-21 46 20.9
1012-01-21 07:00:00,19 15 45.48,-21 43 12.8
1012-01-21 19:00:00,19 18 22.74,-21 39 49.7
1012-01-22 07:00:00,19 21 01.15,-21 36 22.5
1012-01-22 19:00:00,19 23 38.19,-21 32 40.3
1012-01-23 07:00:00,19 26 16.36,-21 28 53.9
1012-01-23 19:00:00,19 28 53.16,-21 24 52.8
1012-01-24 07:00:00,19 31 31.08,-21 20 47.4
1012-01-24 19:00:00,19 34 07.62,-21 16 27.4
1012-01-25 07:00:00,19 36 45.26,-21 12 03.3
1012-01-25 19:00:00,19 39 21.50,-21 07 24.6
1012-01-26 07:00:00,19 41 58.85,-21 02 41.7
1012-01-26 19:00:00,19 44 34.78,-20 57 44.5
1012-01-27 07:00:00,19 47 11.80,-20 52 43.1
1012-01-27 19:00:00,19 49 47.39,-20 47 27.5
1012-01-28 07:00:00,19 52 24.07,-20 42 07.8
1012-01-28 19:00:00,19 54 59.32,-20 36 34.1
1012-01-29 07:00:00,19 57 35.63,-20 30 56.2
1012-01-29 19:00:00,20 00 10.50,-20 25 04.5
