Date,Right ascension (in seconds),Declination (in arc seconds)
1018-01-01 07:00:00,73801.58,-48537.9
1018-01-01 19:00:00,73718.63,-48412.5
1018-01-02 07:00:00,73648.43,-48303.0
1018-01-02 19:00:00,73560.6,-48217.2
1018-01-03 07:00:00,73485.68,-48114.9
1018-01-03 19:00:00,73400.7,-48023.5
1018-01-04 07:00:00,73322.13,-47941.6
1018-01-04 19:00:00,73241.55,-47877.4
1018-01-05 07:00:00,73167.45,-47813.1
1018-01-05 19:00:00,73085.99,-47772.3
1018-01-06 07:00:00,73011.4,-47714.3
1018-01-06 19:00:00,72930.41,-47667.7
1018-01-07 07:00:00,72855.11,-47644.2
1018-01-07 19:00:00,72780.9,-47626.7
1018-01-08 07:00:00,72705.54,-47621.3
1018-01-08 19:00:00,72631.37,-47615.9
1018-01-09 07:00:00,72561.98,-47613.3
1018-01-09 19:00:00,72483.84,-47627.4
1018-01-10 07:00:00,72420.73,-47621.2
1018-01-10 19:00:00,72344.05,-47659.9
1018-01-11 07:00:00,72280.81,-47700.8
1018-01-11 19:00:00,72217.08,-47713.0
1018-01-12 07:00:00,72153.73,-47755.6
1018-01-12 19:00:00,72093.04,-47779.7
1018-01-13 07:00:00,72037.29,-47841.5
1018-01-13 19:00:00,71979.57,-47893.3
1018-01-14 07:00:00,71927.41,-47931.7
1018-01-14 19:00:00,71864.05,-48017.8
1018-01-15 07:00:00,71824.73,-48082.9
1018-01-15 19:00:00,71772.89,-48145.6
1018-01-16 07:00:00,71725.81,-48231.3
1018-01-16 19:00:00,71682.88,-48288.4
1018-01-17 07:00:00,71647.38,-48390.1
1018-01-17 19:00:00,71603.93,-48467.4
1018-01-18 07:00:00,71573.39,-48570.1
1018-01-18 19:00:00,71535.29,-48646.4
1018-01-19 07:00:00,71506.93,-48762.7
1018-01-19 19:00:00,71473.88,-48839.2
1018-01-20 07:00:00,71456.92,-48954.0
1018-01-20 19:00:00,71427.04,-49051.3
1018-01-21 07:00:00,71408.45,-49152.2
1018-01-21 19:00:00,71393.73,-49259.0
