Date,Right ascension (in seconds),Declination (in arc seconds)
1010-01-01 07:00:00,74761.36,-45784.4
1010-01-01 19:00:00,74685.21,-45653.2
1010-01-02 07:00:00,74612.21,-45520.3
1010-01-02 19:00:00,74534.16,-45412.0
1010-01-03 07:00:00,74462.01,-45264.8
1010-01-03 19:00:00,74379.94,-45172.1
1010-01-04 07:00:00,74307.86,-45077.8
1010-01-04 19:00:00,74222.39,-44992.5
1010-01-05 07:00:00,74152.02,-44937.7
1010-01-05 19:00:00,74066.9,-44862.9
1010-01-06 07:00:00,73991.15,-44811.6
1010-01-06 19:00:00,73907.75,-44779.3
1010-01-07 07:00:00,73832.59,-44738.9
1010-01-07 19:00:00,73753.06,-44715.4
1010-01-08 07:00:00,73679.02,-44706.5
1010-01-08 19:00:00,73597.49,-44679.0
1010-01-09 07:00:00,73523.18,-44664.8
1010-01-09 19:00:00,73442.59,-44671.1
1010-01-10 07:00:00,73372.18,-44688.6
1010-01-10 19:00:00,73293.01,-44703.9
1010-01-11 07:00:00,73223.34,-44754.2
1010-01-11 19:00:00,73148.44,-44751.1
1010-01-12 07:00:00,73080.7,-44796.6
1010-01-12 19:00:00,73010.32,-44820.5
1010-01-13 07:00:00,72946.43,-44895.8
1010-01-13 19:00:00,72874.17,-44953.7
1010-01-14 07:00:00,72817.05,-45017.5
1010-01-14 19:00:00,72749.75,-45094.4
1010-01-15 07:00:00,72694.91,-45168.3
1010-01-15 19:00:00,72632.71,-45276.5
1010-01-16 07:00:00,72578.57,-45343.0
1010-01-16 19:00:00,72520.23,-45430.8
1010-01-17 07:00:00,72471.47,-45530.5
1010-01-17 19:00:00,72417.46,-45606.6
1010-01-18 07:00:00,72376.75,-45729.7
1010-01-18 19:00:00,72325.37,-45837.9
1010-01-19 07:00:00,72290.57,-45942.0
1010-01-19 19:00:00,72244.47,-46059.0
1010-01-20 07:00:00,72209.78,-46188.7
1010-01-20 19:00:00,72171.09,-46287.0
1010-01-21 07:00:00,72141.79,-46411.6
1010-01-21 19:00:00,72107.89,-46535.7
1010-01-22 07:00:00,72086.93,-46658.8
1010-01-22 19:00:00,72055.48,-46781.8
1010-01-23 07:00:00,72036.82,-46903.7
1010-01-23 19:00:00,72014.75,-47032.2
1010-01-24 07:00:00,72001.36,-47175.2
1010-01-24 19:00:00,71980.8,-47289.4
1010-01-25 07:00:00,71973.31,-47426.8
1010-01-25 19:00:00,71958.33,-47549.8
1010-01-26 07:00:00,71956.6,-47700.4
1010-01-26 19:00:00,71951.93,-47789.1
1010-01-27 07:00:00,71949.35,-47931.2
1010-01-27 19:00:00,71949.57,-48062.6
1010-01-28 07:00:00,71954.31,-48168.5
1010-01-28 19:00:00,71956.67,-48317.0
1010-01-29 07:00:00,71967.47,-48444.3
1010-01-29 19:00:00,71975.81,-48552.3
1010-01-30 07:00:00,71989.86,-48674.4
1010-01-30 19:00:00,72002.24,-48800.7
1010-01-31 07:00:00,72023.1,-48919.1
1010-01-31 19:00:00,72039.81,-49021.1
1010-02-01 07:00:00,72064.93,-49155.0
1010-02-01 19:00:00,72086.38,-49252.7
1010-02-02 07:00:00,72115.23,-49344.7
1010-02-02 19:00:00,72143.65,-49454.1
1010-02-03 07:00:00,72174.63,-49566.4
1010-02-03 19:00:00,72208.38,-49664.0
1010-02-04 07:00:00,72245.57,-49762.0
1010-02-04 19:00:00,72280.03,-49827.3
1010-02-05 07:00:00,72321.4,-49935.9
1010-02-05 19:00:00,72361.28,-50022.9
1010-02-06 07:00:00,72407.81,-50061.6
1010-02-06 19:00:00,72451.19,-50156.8
1010-02-07 07:00:00,72499.66,-50202.3
1010-02-07 19:00:00,72548.45,-50264.9
1010-02-08 07:00:00,72598.6,-50335.4
1010-02-08 19:00:00,72649.54,-50403.6
