Date,Right ascension (in seconds),Declination (in arc seconds)
1030-01-01 07:00:00,72766.29,-75558.8
1030-01-01 19:00:00,72935.83,-75097.5
1030-01-02 07:00:00,73080.46,-74649.1
1030-01-02 19:00:00,73240.88,-74184.6
1030-01-03 07:00:00,73402.06,-73711.2
1030-01-03 19:00:00,73564.72,-73232.6
1030-01-04 07:00:00,73705.03,-72730.5
1030-01-04 19:00:00,73875.65,-72224.6
1030-01-05 07:00:00,74022.64,-71722.7
1030-01-05 19:00:00,74171.36,-71208.5
1030-01-06 07:00:00,74333.63,-70689.8
1030-01-06 19:00:00,74497.46,-70144.8
1030-01-07 07:00:00,74658.27,-69608.5
1030-01-07 19:00:00,74788.88,-69048.3
1030-01-08 07:00:00,74971.74,-68489.7
1030-01-08 19:00:00,75112.2,-67923.5
1030-01-09 07:00:00,75264.58,-67334.0
1030-01-09 19:00:00,75422.7,-66751.5
1030-01-10 07:00:00,75574.63,-66174.0
1030-01-10 19:00:00,75726.19,-65563.7
1030-01-11 07:00:00,75879.14,-64949.9
1030-01-11 19:00:00,76044.95,-64330.5
1030-01-12 07:00:00,76186.18,-63719.0
1030-01-12 19:00:00,76355.03,-63080.2
1030-01-13 07:00:00,76496.65,-62445.7
1030-01-13 19:00:00,76653.03,-61806.9
1030-01-14 07:00:00,76803.4,-61146.2
1030-01-14 19:00:00,76942.42,-60478.0
1030-01-15 07:00:00,77077.93,-59813.9
1030-01-15 19:00:00,77230.76,-59150.8
1030-01-16 07:00:00,77383.19,-58460.9
1030-01-16 19:00:00,77541.61,-57781.8
1030-01-17 07:00:00,77689.39,-57086.8
1030-01-17 19:00:00,77829.49,-56376.2
1030-01-18 07:00:00,77985.75,-55673.5
1030-01-18 19:00:00,78132.99,-54959.4
1030-01-19 07:00:00,78281.78,-54241.8
1030-01-19 19:00:00,78425.74,-53515.7
1030-01-20 07:00:00,78574.63,-52784.0
1030-01-20 19:00:00,78710.08,-52050.2
1030-01-21 07:00:00,78862.13,-51297.7
1030-01-21 19:00:00,79010.13,-50554.1
1030-01-22 07:00:00,79164.46,-49793.2
1030-01-22 19:00:00,79303.73,-49039.2
1030-01-23 07:00:00,79458.72,-48261.3
1030-01-23 19:00:00,79600.84,-47500.5
1030-01-24 07:00:00,79734.03,-46720.9
1030-01-24 19:00:00,79894.55,-45941.0
1030-01-25 07:00:00,80015.03,-45141.8
1030-01-25 19:00:00,80162.96,-44355.8
1030-01-26 07:00:00,80312.53,-43559.4
1030-01-26 19:00:00,80459.92,-42754.3
1030-01-27 07:00:00,80607.38,-41951.8
1030-01-27 19:00:00,80734.78,-41141.6
1030-01-28 07:00:00,80892.89,-40316.4
1030-01-28 19:00:00,81015.81,-39506.0
1030-01-29 07:00:00,81179.03,-38678.9
1030-01-29 19:00:00,81313.4,-37848.4
1030-01-30 07:00:00,81461.14,-37008.8
1030-01-30 19:00:00,81589.26,-36181.9
1030-01-31 07:00:00,81721.72,-35340.1
1030-01-31 19:00:00,81869.89,-34484.5
1030-02-01 07:00:00,82009.79,-33636.4
1030-02-01 19:00:00,82159.37,-32784.8
1030-02-02 07:00:00,82304.19,-31926.2
1030-02-02 19:00:00,82436.17,-31066.5
1030-02-03 07:00:00,82571.5,-30209.2
1030-02-03 19:00:00,82705.54,-29336.8
1030-02-04 07:00:00,82840.98,-28467.3
1030-02-04 19:00:00,82990.53,-27598.8
1030-02-05 07:00:00,83136.94,-26722.0
1030-02-05 19:00:00,83262.52,-25841.9
1030-02-06 07:00:00,83425.8,-24961.5
1030-02-06 19:00:00,83549.65,-24079.3
1030-02-07 07:00:00,83692.77,-23190.1
1030-02-07 19:00:00,83820.83,-22296.9
1030-02-08 07:00:00,83969.48,-21405.3
1030-02-08 19:00:00,84094.12,-20513.2
1030-02-09 07:00:00,84256.76,-19622.5
1030-02-09 19:00:00,84380.69,-18726.7
1030-02-10 07:00:00,84520.25,-17811.9
1030-02-10 19:00:00,84666.0,-16914.3
1030-02-11 07:00:00,84805.65,-16012.2
1030-02-11 19:00:00,84911.81,-15105.6
1030-02-12 07:00:00,85086.59,-14196.1
1030-02-12 19:00:00,85192.55,-13281.3
1030-02-13 07:00:00,85350.54,-12372.3
1030-02-13 19:00:00,85483.66,-11468.4
1030-02-14 07:00:00,85615.0,-10542.6
1030-02-14 19:00:00,85758.91,-9633.4
1030-02-15 07:00:00,85878.58,-8715.6
1030-02-15 19:00:00,86030.87,-7795.2
1030-02-16 07:00:00,86176.6,-6874.2
1030-02-16 19:00:00,86287.4,-5957.1
1030-02-17 07:00:00,40.16,-5041.0
1030-02-17 19:00:00,176.33,-4120.9
1030-02-18 07:00:00,304.47,-3186.9
1030-02-18 19:00:00,425.43,-2280.1
1030-02-19 07:00:00,581.21,-1342.0
1030-02-19 19:00:00,709.93,-424.6
1030-02-20 07:00:00,846.29,495.4
1030-02-20 19:00:00,990.97,1415.5
1030-02-21 07:00:00,1110.51,2342.4
1030-02-21 19:00:00,1257.59,3260.4
1030-02-22 07:00:00,1384.18,4181.2
1030-02-22 19:00:00,1520.8,5111.3
1030-02-23 07:00:00,1655.88,6031.7
1030-02-23 19:00:00,1780.69,6952.8
1030-02-24 07:00:00,1929.59,7864.3
1030-02-24 19:00:00,2063.16,8787.6
1030-02-25 07:00:00,2200.73,9711.0
1030-02-25 19:00:00,2340.3,10630.5
1030-02-26 07:00:00,2478.93,11545.4
1030-02-26 19:00:00,2624.03,12476.5
1030-02-27 07:00:00,2721.79,13393.1
1030-02-27 19:00:00,2877.98,14308.0
1030-02-28 07:00:00,3029.3,15221.6
1030-02-28 19:00:00,3152.47,16138.6
1030-03-01 07:00:00,3294.53,17035.5
1030-03-01 19:00:00,3425.82,17951.8
1030-03-02 07:00:00,3574.63,18866.1
1030-03-02 19:00:00,3698.49,19752.2
1030-03-03 07:00:00,3844.48,20669.2
1030-03-03 19:00:00,3982.26,21577.1
1030-03-04 07:00:00,4128.94,22475.4
1030-03-04 19:00:00,4247.99,23376.6
1030-03-05 07:00:00,4399.37,24270.9
1030-03-05 19:00:00,4515.88,25159.5
1030-03-06 07:00:00,4670.72,26055.6
1030-03-06 19:00:00,4795.5,26954.3
1030-03-07 07:00:00,4944.71,27850.1
1030-03-07 19:00:00,5072.54,28726.8
1030-03-08 07:00:00,5197.89,29617.0
1030-03-08 19:00:00,5344.63,30492.7
1030-03-09 07:00:00,5503.36,31360.0
1030-03-09 19:00:00,5617.36,32244.2
1030-03-10 07:00:00,5756.82,33105.1
1030-03-10 19:00:00,5880.24,33977.6
1030-03-11 07:00:00,6038.59,34843.6
1030-03-11 19:00:00,6185.71,35699.2
1030-03-12 07:00:00,6315.43,36553.1
1030-03-12 19:00:00,6445.35,37404.6
1030-03-13 07:00:00,6591.07,38263.5
1030-03-13 19:00:00,6726.46,39104.3
1030-03-14 07:00:00,6870.54,39948.2
1030-03-14 19:00:00,7016.25,40792.4
1030-03-15 07:00:00,7151.61,41625.7
1030-03-15 19:00:00,7294.1,42465.0
1030-03-16 07:00:00,7443.53,43291.0
1030-03-16 19:00:00,7582.39,44102.4
1030-03-17 07:00:00,7709.76,44925.5
1030-03-17 19:00:00,7850.86,45732.7
1030-03-18 07:00:00,7999.76,46541.7
1030-03-18 19:00:00,8123.63,47356.6
1030-03-19 07:00:00,8273.1,48150.2
1030-03-19 19:00:00,8399.59,48942.6
1030-03-20 07:00:00,8563.02,49739.3
1030-03-20 19:00:00,8696.42,50519.7
1030-03-21 07:00:00,8839.33,51297.8
1030-03-21 19:00:00,8977.32,52077.2
1030-03-22 07:00:00,9125.12,52845.7
1030-03-22 19:00:00,9275.22,53612.6
1030-03-23 07:00:00,9429.09,54375.6
1030-03-23 19:00:00,9548.86,55123.1
1030-03-24 07:00:00,9708.18,55859.7
1030-03-24 19:00:00,9840.9,56609.9
1030-03-25 07:00:00,9990.05,57339.4
1030-03-25 19:00:00,10140.79,58085.1
1030-03-26 07:00:00,10288.88,58803.8
1030-03-26 19:00:00,10431.34,59516.0
1030-03-27 07:00:00,10575.57,60233.2
1030-03-27 19:00:00,10720.67,60940.0
1030-03-28 07:00:00,10860.28,61629.1
1030-03-28 19:00:00,11006.46,62329.4
1030-03-29 07:00:00,11159.48,63013.3
1030-03-29 19:00:00,11318.6,63696.8
1030-03-30 07:00:00,11466.16,64368.3
1030-03-30 19:00:00,11594.18,65028.4
1030-03-31 07:00:00,11741.84,65691.9
1030-03-31 19:00:00,11896.62,66340.3
1030-04-01 07:00:00,12055.82,66980.3
1030-04-01 19:00:00,12192.52,67625.9
1030-04-02 07:00:00,12348.73,68244.4
1030-04-02 19:00:00,12482.97,68881.8
1030-04-03 07:00:00,12631.29,69489.1
1030-04-03 19:00:00,12779.66,70096.7
1030-04-04 07:00:00,12925.54,70696.6
1030-04-04 19:00:00,13086.56,71290.1
1030-04-05 07:00:00,13229.79,71878.4
1030-04-05 19:00:00,13379.77,72462.8
1030-04-06 07:00:00,13537.48,73022.9
1030-04-06 19:00:00,13668.43,73584.3
1030-04-07 07:00:00,13847.22,74138.0
1030-04-07 19:00:00,14002.34,74679.3
1030-04-08 07:00:00,14147.01,75217.3
1030-04-08 19:00:00,14284.99,75747.9
1030-04-09 07:00:00,14447.79,76262.7
1030-04-09 19:00:00,14609.88,76767.8
1030-04-10 07:00:00,14751.61,77280.2
1030-04-10 19:00:00,14883.48,77764.4
1030-04-11 07:00:00,15055.23,78258.4
1030-04-11 19:00:00,15209.83,78730.8
1030-04-12 07:00:00,15366.33,79188.5
1030-04-12 19:00:00,15515.58,79652.6
1030-04-13 07:00:00,15667.14,80108.3
1030-04-13 19:00:00,15816.54,80541.7
1030-04-14 07:00:00,15991.02,80976.2
1030-04-14 19:00:00,16144.01,81399.8
1030-04-15 07:00:00,16288.65,81812.8
1030-04-15 19:00:00,16470.86,82209.3
1030-04-16 07:00:00,16594.89,82608.5
1030-04-16 19:00:00,16756.64,82990.5
1030-04-17 07:00:00,16909.59,83358.6
1030-04-17 19:00:00,17062.81,83725.0
1030-04-18 07:00:00,17216.66,84077.6
1030-04-18 19:00:00,17387.15,84424.0
1030-04-19 07:00:00,17539.0,84742.9
