Date,Right ascension (in seconds),Declination (in arc seconds)
1038-01-01 07:00:00,72927.64,-75198.4
1038-01-01 19:00:00,73063.57,-74746.5
1038-01-02 07:00:00,73217.54,-74271.7
1038-01-02 19:00:00,73375.66,-73815.8
1038-01-03 07:00:00,73548.18,-73322.5
1038-01-03 19:00:00,73682.27,-72828.8
1038-01-04 07:00:00,73869.56,-72338.1
1038-01-04 19:00:00,74012.9,-71823.2
1038-01-05 07:00:00,74160.92,-71301.0
1038-01-05 19:00:00,74311.42,-70784.1
1038-01-06 07:00:00,74466.55,-70243.7
1038-01-06 19:00:00,74641.98,-69693.3
1038-01-07 07:00:00,74803.45,-69147.3
1038-01-07 19:00:00,74952.21,-68576.6
1038-01-08 07:00:00,75106.63,-68018.4
1038-01-08 19:00:00,75241.04,-67435.3
1038-01-09 07:00:00,75407.04,-66859.6
1038-01-09 19:00:00,75565.14,-66252.4
1038-01-10 07:00:00,75711.62,-65666.7
1038-01-10 19:00:00,75874.36,-65056.0
1038-01-11 07:00:00,76036.55,-64434.7
1038-01-11 19:00:00,76175.88,-63816.4
1038-01-12 07:00:00,76321.67,-63182.2
1038-01-12 19:00:00,76479.05,-62545.2
1038-01-13 07:00:00,76616.29,-61894.5
1038-01-13 19:00:00,76769.79,-61243.7
1038-01-14 07:00:00,76930.3,-60590.2
1038-01-14 19:00:00,77067.03,-59910.4
1038-01-15 07:00:00,77227.39,-59239.7
1038-01-15 19:00:00,77367.64,-58556.5
1038-01-16 07:00:00,77525.1,-57877.9
1038-01-16 19:00:00,77668.27,-57182.6
1038-01-17 07:00:00,77819.38,-56477.6
1038-01-17 19:00:00,77969.69,-55775.0
1038-01-18 07:00:00,78120.27,-55061.0
1038-01-18 19:00:00,78272.7,-54337.4
1038-01-19 07:00:00,78402.03,-53612.8
1038-01-19 19:00:00,78571.74,-52875.6
1038-01-20 07:00:00,78704.2,-52138.9
1038-01-20 19:00:00,78843.55,-51397.6
1038-01-21 07:00:00,79002.04,-50643.2
1038-01-21 19:00:00,79137.49,-49888.0
1038-01-22 07:00:00,79290.49,-49128.8
1038-01-22 19:00:00,79444.06,-48364.8
1038-01-23 07:00:00,79583.08,-47593.2
1038-01-23 19:00:00,79724.16,-46819.7
1038-01-24 07:00:00,79877.34,-46033.4
1038-01-24 19:00:00,80017.71,-45247.7
1038-01-25 07:00:00,80155.47,-44446.4
1038-01-25 19:00:00,80312.33,-43658.5
1038-01-26 07:00:00,80444.98,-42849.2
1038-01-26 19:00:00,80585.87,-42046.0
1038-01-27 07:00:00,80729.14,-41231.5
1038-01-27 19:00:00,80856.19,-40410.2
1038-01-28 07:00:00,81027.09,-39593.4
1038-01-28 19:00:00,81168.37,-38769.5
1038-01-29 07:00:00,81294.09,-37940.6
1038-01-29 19:00:00,81446.84,-37116.2
1038-01-30 07:00:00,81598.82,-36267.1
1038-01-30 19:00:00,81720.22,-35430.3
1038-01-31 07:00:00,81865.22,-34578.0
1038-01-31 19:00:00,82005.98,-33739.4
1038-02-01 07:00:00,82136.08,-32873.2
1038-02-01 19:00:00,82274.21,-32015.0
1038-02-02 07:00:00,82424.84,-31165.0
1038-02-02 19:00:00,82564.37,-30301.3
1038-02-03 07:00:00,82709.78,-29432.3
1038-02-03 19:00:00,82857.95,-28559.0
1038-02-04 07:00:00,82986.04,-27683.8
1038-02-04 19:00:00,83127.98,-26813.1
1038-02-05 07:00:00,83281.2,-25936.7
1038-02-05 19:00:00,83386.47,-25055.4
1038-02-06 07:00:00,83549.61,-24167.0
1038-02-06 19:00:00,83675.56,-23281.6
1038-02-07 07:00:00,83801.41,-22386.1
1038-02-07 19:00:00,83961.81,-21500.0
1038-02-08 07:00:00,84099.66,-20598.7
1038-02-08 19:00:00,84231.62,-19704.9
1038-02-09 07:00:00,84379.38,-18801.4
1038-02-09 19:00:00,84503.06,-17902.6
1038-02-10 07:00:00,84647.13,-17006.4
1038-02-10 19:00:00,84768.6,-16090.9
1038-02-11 07:00:00,84918.59,-15186.0
1038-02-11 19:00:00,85044.51,-14273.9
1038-02-12 07:00:00,85192.09,-13357.8
1038-02-12 19:00:00,85324.36,-12452.4
1038-02-13 07:00:00,85457.0,-11544.2
1038-02-13 19:00:00,85586.45,-10628.5
1038-02-14 07:00:00,85727.32,-9703.7
1038-02-14 19:00:00,85869.1,-8802.0
1038-02-15 07:00:00,86017.95,-7878.4
1038-02-15 19:00:00,86148.93,-6957.5
1038-02-16 07:00:00,86276.1,-6031.8
1038-02-16 19:00:00,33.66,-5110.1
1038-02-17 07:00:00,149.17,-4199.2
1038-02-17 19:00:00,286.26,-3265.2
1038-02-18 07:00:00,426.37,-2345.9
1038-02-18 19:00:00,561.83,-1423.0
1038-02-19 07:00:00,700.67,-495.3
1038-02-19 19:00:00,811.16,417.4
1038-02-20 07:00:00,978.49,1346.0
1038-02-20 19:00:00,1084.81,2270.6
1038-02-21 07:00:00,1240.82,3192.4
1038-02-21 19:00:00,1379.84,4119.3
1038-02-22 07:00:00,1523.63,5038.2
1038-02-22 19:00:00,1647.68,5965.0
1038-02-23 07:00:00,1780.99,6882.1
1038-02-23 19:00:00,1908.63,7804.2
1038-02-24 07:00:00,2063.88,8725.9
1038-02-24 19:00:00,2181.69,9645.8
1038-02-25 07:00:00,2333.69,10562.2
1038-02-25 19:00:00,2474.64,11486.2
1038-02-26 07:00:00,2588.67,12407.3
1038-02-26 19:00:00,2733.27,13324.9
1038-02-27 07:00:00,2859.46,14245.1
1038-02-27 19:00:00,3006.42,15152.1
1038-02-28 07:00:00,3133.67,16076.5
1038-02-28 19:00:00,3269.31,16977.1
1038-03-01 07:00:00,3410.88,17894.9
1038-03-01 19:00:00,3545.17,18803.4
1038-03-02 07:00:00,3686.73,19704.4
1038-03-02 19:00:00,3822.66,20615.4
1038-03-03 07:00:00,3957.32,21515.0
1038-03-03 19:00:00,4086.6,22418.0
1038-03-04 07:00:00,4229.6,23320.7
1038-03-04 19:00:00,4364.88,24217.1
1038-03-05 07:00:00,4489.39,25107.9
1038-03-05 19:00:00,4648.09,26013.3
1038-03-06 07:00:00,4789.4,26894.7
1038-03-06 19:00:00,4920.62,27792.9
1038-03-07 07:00:00,5061.22,28674.3
1038-03-07 19:00:00,5194.5,29550.8
1038-03-08 07:00:00,5347.44,30439.5
1038-03-08 19:00:00,5462.49,31313.1
1038-03-09 07:00:00,5608.8,32190.2
1038-03-09 19:00:00,5758.5,33061.5
1038-03-10 07:00:00,5885.4,33936.8
1038-03-10 19:00:00,6023.28,34794.6
1038-03-11 07:00:00,6144.16,35648.4
1038-03-11 19:00:00,6298.42,36519.0
1038-03-12 07:00:00,6437.23,37367.2
1038-03-12 19:00:00,6569.44,38211.2
1038-03-13 07:00:00,6711.18,39070.7
1038-03-13 19:00:00,6852.67,39906.4
1038-03-14 07:00:00,6990.76,40742.3
1038-03-14 19:00:00,7126.51,41590.2
1038-03-15 07:00:00,7287.82,42416.8
1038-03-15 19:00:00,7411.07,43249.2
1038-03-16 07:00:00,7546.59,44078.4
1038-03-16 19:00:00,7698.24,44891.6
1038-03-17 07:00:00,7835.19,45700.8
1038-03-17 19:00:00,7991.74,46514.4
1038-03-18 07:00:00,8112.41,47322.6
1038-03-18 19:00:00,8272.03,48123.8
1038-03-19 07:00:00,8399.17,48915.0
1038-03-19 19:00:00,8554.41,49705.7
1038-03-20 07:00:00,8683.29,50494.0
1038-03-20 19:00:00,8832.34,51276.4
1038-03-21 07:00:00,8965.94,52052.5
1038-03-21 19:00:00,9117.63,52821.1
1038-03-22 07:00:00,9265.14,53582.0
1038-03-22 19:00:00,9384.46,54345.3
1038-03-23 07:00:00,9534.29,55101.1
1038-03-23 19:00:00,9692.7,55844.6
1038-03-24 07:00:00,9811.65,56590.3
1038-03-24 19:00:00,9974.5,57331.9
1038-03-25 07:00:00,10116.2,58060.2
1038-03-25 19:00:00,10266.91,58781.7
1038-03-26 07:00:00,10407.34,59501.4
1038-03-26 19:00:00,10548.52,60219.6
1038-03-27 07:00:00,10689.0,60916.8
1038-03-27 19:00:00,10841.79,61623.1
1038-03-28 07:00:00,10982.45,62318.3
1038-03-28 19:00:00,11138.23,63009.8
1038-03-29 07:00:00,11280.57,63679.0
1038-03-29 19:00:00,11442.87,64351.9
1038-03-30 07:00:00,11586.13,65024.7
1038-03-30 19:00:00,11728.54,65683.0
1038-03-31 07:00:00,11882.18,66336.5
1038-03-31 19:00:00,12006.14,66980.5
1038-04-01 07:00:00,12166.5,67619.4
1038-04-01 19:00:00,12323.87,68251.6
1038-04-02 07:00:00,12476.77,68877.3
1038-04-02 19:00:00,12615.79,69493.9
1038-04-03 07:00:00,12765.73,70097.3
1038-04-03 19:00:00,12904.61,70704.5
1038-04-04 07:00:00,13081.17,71296.1
1038-04-04 19:00:00,13213.14,71884.9
1038-04-05 07:00:00,13376.84,72455.1
1038-04-05 19:00:00,13504.44,73032.1
1038-04-06 07:00:00,13661.7,73588.9
1038-04-06 19:00:00,13818.21,74141.8
1038-04-07 07:00:00,13965.71,74687.2
1038-04-07 19:00:00,14115.03,75225.5
1038-04-08 07:00:00,14274.6,75762.0
1038-04-08 19:00:00,14422.42,76277.1
1038-04-09 07:00:00,14573.45,76785.3
1038-04-09 19:00:00,14736.92,77297.6
1038-04-10 07:00:00,14875.23,77789.6
1038-04-10 19:00:00,15037.73,78270.7
1038-04-11 07:00:00,15174.44,78752.1
1038-04-11 19:00:00,15342.72,79220.4
1038-04-12 07:00:00,15499.03,79679.0
1038-04-12 19:00:00,15633.51,80128.4
1038-04-13 07:00:00,15812.43,80571.0
1038-04-13 19:00:00,15966.97,81002.9
1038-04-14 07:00:00,16115.89,81414.6
1038-04-14 19:00:00,16282.48,81831.7
1038-04-15 07:00:00,16422.28,82236.1
1038-04-15 19:00:00,16576.43,82628.3
1038-04-16 07:00:00,16742.63,83014.3
1038-04-16 19:00:00,16895.75,83397.1
1038-04-17 07:00:00,17044.23,83749.7
1038-04-17 19:00:00,17195.29,84114.1
1038-04-18 07:00:00,17352.32,84462.0
1038-04-18 19:00:00,17506.9,84792.5
1038-04-19 07:00:00,17663.19,85126.0
1038-04-19 19:00:00,17813.96,85443.1
1038-04-20 07:00:00,17988.45,85754.2
1038-04-20 19:00:00,18141.97,86044.8
1038-04-21 07:00:00,18300.64,86325.3
1038-04-21 19:00:00,18458.62,86607.4
1038-04-22 07:00:00,18612.51,86870.3
1038-04-22 19:00:00,18782.66,87129.4
1038-04-23 07:00:00,18938.58,87381.2
1038-04-23 19:00:00,19077.24,87612.6
1038-04-24 07:00:00,19245.14,87837.5
1038-04-24 19:00:00,19416.05,88047.1
1038-04-25 07:00:00,19566.1,88246.3
1038-04-25 19:00:00,19713.62,88449.1
1038-04-26 07:00:00,19879.9,88630.1
1038-04-26 19:00:00,20059.47,88801.5
1038-04-27 07:00:00,20180.05,88967.9
1038-04-27 19:00:00,20366.6,89128.6
1038-04-28 07:00:00,20525.87,89265.3
1038-04-28 19:00:00,20675.65,89388.8
1038-04-29 07:00:00,20828.99,89512.9
1038-04-29 19:00:00,20998.4,89624.5
1038-04-30 07:00:00,21173.12,89722.0
1038-04-30 19:00:00,21309.79,89813.3
1038-05-01 07:00:00,21459.75,89885.4
1038-05-01 19:00:00,21624.2,89960.8
1038-05-02 07:00:00,21771.58,90011.0
1038-05-02 19:00:00,21938.48,90053.6
1038-05-03 07:00:00,22090.91,90088.9
1038-05-03 19:00:00,22260.32,90110.9
1038-05-04 07:00:00,22406.94,90129.5
1038-05-04 19:00:00,22583.63,90131.9
1038-05-05 07:00:00,22728.06,90127.9
1038-05-05 19:00:00,22883.68,90115.3
1038-05-06 07:00:00,23042.03,90070.3
1038-05-06 19:00:00,23214.16,90037.7
1038-05-07 07:00:00,23374.05,89988.2
1038-05-07 19:00:00,23527.11,89935.8
1038-05-08 07:00:00,23674.01,89856.5
1038-05-08 19:00:00,23844.71,89770.2
1038-05-09 07:00:00,24005.77,89678.3
1038-05-09 19:00:00,24161.87,89577.3
1038-05-10 07:00:00,24310.78,89462.9
1038-05-10 19:00:00,24473.58,89338.0
1038-05-11 07:00:00,24641.91,89205.4
1038-05-11 19:00:00,24794.32,89054.6
1038-05-12 07:00:00,24946.68,88900.5
1038-05-12 19:00:00,25107.31,88738.9
1038-05-13 07:00:00,25261.66,88561.1
1038-05-13 19:00:00,25414.34,88376.2
1038-05-14 07:00:00,25565.03,88177.1
1038-05-14 19:00:00,25718.98,87972.4
1038-05-15 07:00:00,25892.36,87744.7
1038-05-15 19:00:00,26038.03,87523.4
1038-05-16 07:00:00,26194.59,87285.1
1038-05-16 19:00:00,26351.26,87033.7
1038-05-17 07:00:00,26513.81,86774.2
1038-05-17 19:00:00,26661.11,86516.4
1038-05-18 07:00:00,26807.28,86230.2
1038-05-18 19:00:00,26965.39,85949.6
1038-05-19 07:00:00,27100.96,85647.2
1038-05-19 19:00:00,27270.4,85332.8
1038-05-20 07:00:00,27428.65,85033.0
1038-05-20 19:00:00,27583.14,84700.7
1038-05-21 07:00:00,27730.62,84366.1
1038-05-21 19:00:00,27887.49,84020.3
1038-05-22 07:00:00,28038.44,83659.5
1038-05-22 19:00:00,28193.46,83304.9
