Date,Right ascension,Declination
1037-01-01 07:00:00,23 15 49.22,-05 05 02.2
1037-01-01 19:00:00,23 17 35.23,-04 50 28.6
1037-01-02 07:00:00,23 19 23.39,-04 35 49.0
1037-01-02 19:00:00,23 21 08.30,-04 21 14.7
1037-01-03 07:00:00,23 22 55.39,-04 06 34.9
1037-01-03 19:00:00,23 24 39.20,-03 52 00.4
1037-01-04 07:00:00,23 26 25.21,-03 37 20.7
1037-01-04 19:00:00,23 28 07.89,-03 22 46.3
1037-01-05 07:00:00,23 29 52.81,-03 08 07.2
1037-01-05 19:00:00,23 31 34.36,-02 53 33.4
1037-01-06 07:00:00,23 33 18.17,-02 38 55.3
1037-01-06 19:00:00,23 34 58.57,-02 24 22.4
1037-01-07 07:00:00,23 36 41.26,-02 09 45.7
1037-01-07 19:00:00,23 38 20.48,-01 55 14.1
1037-01-08 07:00:00,23 40 02.04,-01 40 39.1
1037-01-08 19:00:00,23 41 40.08,-01 26 09.2
1037-01-09 07:00:00,23 43 20.48,-01 11 36.4
1037-01-09 19:00:00,23 44 57.31,-00 57 08.6
1037-01-10 07:00:00,23 46 36.53,-00 42 38.2
1037-01-10 19:00:00,23 48 12.14,-00 28 12.9
1037-01-11 07:00:00,23 49 50.16,-00 13 45.5
1037-01-11 19:00:00,23 51 24.51,+00 00 37.0
1037-01-12 07:00:00,23 53 01.31,+00 15 01.1
1037-01-12 19:00:00,23 54 34.38,+00 29 20.3
1037-01-13 07:00:00,23 56 09.93,+00 43 40.7
1037-01-13 19:00:00,23 57 41.68,+00 57 56.2
1037-01-14 07:00:00,23 59 15.94,+01 12 12.4
1037-01-14 19:00:00,00 00 46.35,+01 26 23.9
1037-01-15 07:00:00,00 02 19.30,+01 40 35.5
1037-01-15 19:00:00,00 03 48.32,+01 54 42.4
1037-01-16 07:00:00,00 05 19.91,+02 08 49.0
1037-01-16 19:00:00,00 06 47.51,+02 22 51.0
1037-01-17 07:00:00,00 08 17.71,+02 36 52.2
1037-01-17 19:00:00,00 09 43.84,+02 50 48.7
1037-01-18 07:00:00,00 11 12.60,+03 04 43.9
