Date,Right ascension (in seconds),Declination (in arc seconds)
1035-01-01 07:00:00,77387.81,-59468.6
1035-01-01 19:00:00,77532.07,-58754.2
1035-01-02 07:00:00,77694.06,-58083.2
1035-01-02 19:00:00,77835.56,-57328.4
1035-01-03 07:00:00,77977.14,-56611.5
1035-01-03 19:00:00,78128.33,-55892.3
1035-01-04 07:00:00,78254.13,-55167.0
1035-01-04 19:00:00,78418.58,-54431.2
1035-01-05 07:00:00,78554.46,-53682.1
1035-01-05 19:00:00,78694.83,-52899.0
1035-01-06 07:00:00,78841.3,-52146.5
1035-01-06 19:00:00,78984.0,-51403.0
1035-01-07 07:00:00,79146.34,-50610.5
1035-01-07 19:00:00,79274.72,-49868.0
1035-01-08 07:00:00,79433.74,-49053.7
1035-01-08 19:00:00,79587.37,-48280.8
1035-01-09 07:00:00,79719.74,-47477.4
1035-01-09 19:00:00,79871.24,-46669.4
1035-01-10 07:00:00,80003.87,-45864.9
1035-01-10 19:00:00,80145.81,-45051.6
1035-01-11 07:00:00,80295.22,-44266.0
1035-01-11 19:00:00,80427.78,-43438.8
1035-01-12 07:00:00,80579.28,-42590.9
1035-01-12 19:00:00,80717.26,-41775.3
1035-01-13 07:00:00,80862.12,-40934.4
1035-01-13 19:00:00,80994.87,-40056.7
1035-01-14 07:00:00,81146.67,-39269.3
1035-01-14 19:00:00,81285.8,-38410.9
1035-01-15 07:00:00,81419.68,-37565.1
1035-01-15 19:00:00,81554.45,-36716.7
1035-01-16 07:00:00,81682.2,-35853.8
1035-01-16 19:00:00,81802.07,-34982.0
1035-01-17 07:00:00,81977.88,-34096.2
1035-01-17 19:00:00,82121.52,-33262.6
1035-01-18 07:00:00,82255.77,-32390.9
1035-01-18 19:00:00,82377.04,-31498.0
1035-01-19 07:00:00,82546.76,-30603.5
1035-01-19 19:00:00,82662.58,-29757.6
1035-01-20 07:00:00,82801.79,-28845.9
1035-01-20 19:00:00,82946.86,-27951.8
1035-01-21 07:00:00,83086.5,-27045.5
1035-01-21 19:00:00,83235.69,-26175.5
1035-01-22 07:00:00,83355.66,-25273.7
1035-01-22 19:00:00,83496.82,-24384.0
1035-01-23 07:00:00,83649.63,-23477.9
1035-01-23 19:00:00,83748.77,-22568.4
1035-01-24 07:00:00,83918.91,-21660.6
1035-01-24 19:00:00,84046.41,-20778.5
1035-01-25 07:00:00,84189.26,-19803.6
1035-01-25 19:00:00,84311.92,-18940.6
1035-01-26 07:00:00,84467.51,-18011.4
1035-01-26 19:00:00,84600.9,-17084.9
1035-01-27 07:00:00,84722.54,-16159.7
1035-01-27 19:00:00,84844.61,-15230.3
1035-01-28 07:00:00,84980.44,-14331.8
1035-01-28 19:00:00,85124.83,-13394.7
1035-01-29 07:00:00,85253.44,-12453.0
1035-01-29 19:00:00,85390.04,-11552.9
1035-01-30 07:00:00,85542.86,-10612.5
1035-01-30 19:00:00,85672.75,-9655.0
1035-01-31 07:00:00,85817.26,-8720.9
1035-01-31 19:00:00,85926.34,-7795.4
1035-02-01 07:00:00,86070.44,-6878.6
1035-02-01 19:00:00,86189.7,-5951.3
1035-02-02 07:00:00,86345.03,-4975.6
1035-02-02 19:00:00,92.1,-4065.8
1035-02-03 07:00:00,208.86,-3115.1
1035-02-03 19:00:00,343.05,-2180.5
1035-02-04 07:00:00,481.64,-1244.1
1035-02-04 19:00:00,619.03,-308.6
1035-02-05 07:00:00,741.08,614.6
1035-02-05 19:00:00,877.42,1572.6
1035-02-06 07:00:00,1006.43,2509.1
1035-02-06 19:00:00,1169.56,3439.4
1035-02-07 07:00:00,1275.47,4402.0
1035-02-07 19:00:00,1419.97,5337.1
1035-02-08 07:00:00,1539.15,6230.8
1035-02-08 19:00:00,1691.71,7191.2
1035-02-09 07:00:00,1824.01,8130.6
1035-02-09 19:00:00,1955.25,9068.4
1035-02-10 07:00:00,2076.43,10015.7
1035-02-10 19:00:00,2198.82,10936.5
1035-02-11 07:00:00,2348.35,11898.0
1035-02-11 19:00:00,2492.38,12793.5
1035-02-12 07:00:00,2605.6,13759.8
1035-02-12 19:00:00,2766.14,14676.0
1035-02-13 07:00:00,2885.88,15602.4
1035-02-13 19:00:00,3023.89,16539.4
1035-02-14 07:00:00,3167.59,17473.6
1035-02-14 19:00:00,3275.75,18407.7
1035-02-15 07:00:00,3418.19,19336.5
1035-02-15 19:00:00,3540.29,20237.8
