Date,Right ascension,Declination
1032-01-01 07:00:00,22 34 34.23,-10 42 56.0
1032-01-01 19:00:00,22 36 49.68,-10 28 36.0
1032-01-02 07:00:00,22 39 06.51,-10 14 08.3
1032-01-02 19:00:00,22 41 21.38,-09 59 40.7
1032-01-03 07:00:00,22 43 37.64,-09 45 05.6
1032-01-03 19:00:00,22 45 51.96,-09 30 30.6
1032-01-04 07:00:00,22 48 07.67,-09 15 48.4
1032-01-04 19:00:00,22 50 21.44,-09 01 06.6
1032-01-05 07:00:00,22 52 36.62,-08 46 17.7
1032-01-05 19:00:00,22 54 49.86,-08 31 29.3
1032-01-06 07:00:00,22 57 04.53,-08 16 34.2
1032-01-06 19:00:00,22 59 17.26,-08 01 39.6
1032-01-07 07:00:00,23 01 31.43,-07 46 38.6
1032-01-07 19:00:00,23 03 43.66,-07 31 38.1
1032-01-08 07:00:00,23 05 57.35,-07 16 31.6
1032-01-08 19:00:00,23 08 09.11,-07 01 25.7
1032-01-09 07:00:00,23 10 22.33,-06 46 14.1
1032-01-09 19:00:00,23 12 33.63,-06 31 03.1
1032-01-10 07:00:00,23 14 46.41,-06 15 46.6
1032-01-10 19:00:00,23 16 57.26,-06 00 31.0
1032-01-11 07:00:00,23 19 09.61,-05 45 10.1
1032-01-11 19:00:00,23 21 20.04,-05 29 50.1
1032-01-12 07:00:00,23 23 31.98,-05 14 25.2
1032-01-12 19:00:00,23 25 42.00,-04 59 01.2
1032-01-13 07:00:00,23 27 53.54,-04 43 32.6
1032-01-13 19:00:00,23 30 03.17,-04 28 05.0
1032-01-14 07:00:00,23 32 14.34,-04 12 33.1
1032-01-14 19:00:00,23 34 23.59,-03 57 02.2
1032-01-15 07:00:00,23 36 34.39,-03 41 27.4
1032-01-15 19:00:00,23 38 43.28,-03 25 53.7
1032-01-16 07:00:00,23 40 53.73,-03 10 16.3
1032-01-16 19:00:00,23 43 02.27,-02 54 40.0
1032-01-17 07:00:00,23 45 12.40,-02 39 00.4
1032-01-17 19:00:00,23 47 20.61,-02 23 22.1
1032-01-18 07:00:00,23 49 30.41,-02 07 40.7
1032-01-18 19:00:00,23 51 38.30,-01 52 00.5
1032-01-19 07:00:00,23 53 47.81,-01 36 17.7
1032-01-19 19:00:00,23 55 55.39,-01 20 36.1
1032-01-20 07:00:00,23 58 04.61,-01 04 52.2
1032-01-20 19:00:00,00 00 11.90,-00 49 09.6
1032-01-21 07:00:00,00 02 20.85,-00 33 24.9
1032-01-21 19:00:00,00 04 27.87,-00 17 41.7
