Date,Right ascension (in seconds),Declination (in arc seconds)
1034-01-01 07:00:00,71828.15,-53584.6
1034-01-01 19:00:00,71741.41,-53477.8
1034-01-02 07:00:00,71669.02,-53384.1
1034-01-02 19:00:00,71587.44,-53287.0
1034-01-03 07:00:00,71515.27,-53210.0
1034-01-03 19:00:00,71431.54,-53131.3
1034-01-04 07:00:00,71363.82,-53059.6
1034-01-04 19:00:00,71288.22,-52994.3
1034-01-05 07:00:00,71218.7,-52942.2
1034-01-05 19:00:00,71149.48,-52892.0
1034-01-06 07:00:00,71086.3,-52849.1
1034-01-06 19:00:00,71016.3,-52807.8
1034-01-07 07:00:00,70957.35,-52783.0
1034-01-07 19:00:00,70889.94,-52741.2
1034-01-08 07:00:00,70831.48,-52738.4
1034-01-08 19:00:00,70775.72,-52710.9
1034-01-09 07:00:00,70719.66,-52709.7
1034-01-09 19:00:00,70663.31,-52705.5
1034-01-10 07:00:00,70611.7,-52710.7
1034-01-10 19:00:00,70561.39,-52717.7
1034-01-11 07:00:00,70517.08,-52742.3
1034-01-11 19:00:00,70470.46,-52753.8
1034-01-12 07:00:00,70430.58,-52780.8
1034-01-12 19:00:00,70388.24,-52798.9
1034-01-13 07:00:00,70346.78,-52838.5
1034-01-13 19:00:00,70311.13,-52865.5
1034-01-14 07:00:00,70282.53,-52913.2
1034-01-14 19:00:00,70260.05,-52953.9
1034-01-15 07:00:00,70233.37,-53003.3
1034-01-15 19:00:00,70208.43,-53053.9
1034-01-16 07:00:00,70182.66,-53115.5
1034-01-16 19:00:00,70169.57,-53162.2
1034-01-17 07:00:00,70154.3,-53235.3
1034-01-17 19:00:00,70135.83,-53285.0
1034-01-18 07:00:00,70130.12,-53358.8
1034-01-18 19:00:00,70115.0,-53424.1
1034-01-19 07:00:00,70117.97,-53492.8
1034-01-19 19:00:00,70104.81,-53572.6
1034-01-20 07:00:00,70114.95,-53644.8
1034-01-20 19:00:00,70103.71,-53710.9
1034-01-21 07:00:00,70115.02,-53788.7
1034-01-21 19:00:00,70126.69,-53864.9
1034-01-22 07:00:00,70135.91,-53950.8
1034-01-22 19:00:00,70143.61,-54017.5
1034-01-23 07:00:00,70154.88,-54101.8
1034-01-23 19:00:00,70168.84,-54179.4
1034-01-24 07:00:00,70197.13,-54253.4
1034-01-24 19:00:00,70214.77,-54331.8
1034-01-25 07:00:00,70242.91,-54416.2
1034-01-25 19:00:00,70272.94,-54493.0
1034-01-26 07:00:00,70294.92,-54563.4
1034-01-26 19:00:00,70321.02,-54641.1
1034-01-27 07:00:00,70361.38,-54719.9
1034-01-27 19:00:00,70392.62,-54786.3
1034-01-28 07:00:00,70437.01,-54868.4
1034-01-28 19:00:00,70464.02,-54939.0
1034-01-29 07:00:00,70510.97,-55010.1
1034-01-29 19:00:00,70547.39,-55059.1
1034-01-30 07:00:00,70594.53,-55143.6
1034-01-30 19:00:00,70643.01,-55182.3
1034-01-31 07:00:00,70688.41,-55266.0
1034-01-31 19:00:00,70740.79,-55311.9
1034-02-01 07:00:00,70793.73,-55369.4
1034-02-01 19:00:00,70840.78,-55408.4
1034-02-02 07:00:00,70901.02,-55469.1
1034-02-02 19:00:00,70961.22,-55506.4
1034-02-03 07:00:00,71018.39,-55559.7
1034-02-03 19:00:00,71084.95,-55591.5
1034-02-04 07:00:00,71147.45,-55627.7
1034-02-04 19:00:00,71201.3,-55644.9
1034-02-05 07:00:00,71270.88,-55689.3
1034-02-05 19:00:00,71337.95,-55689.9
1034-02-06 07:00:00,71407.34,-55740.7
1034-02-06 19:00:00,71481.98,-55725.8
1034-02-07 07:00:00,71552.92,-55748.1
1034-02-07 19:00:00,71625.05,-55742.5
1034-02-08 07:00:00,71708.07,-55756.1
1034-02-08 19:00:00,71774.16,-55733.7
1034-02-09 07:00:00,71849.95,-55730.2
1034-02-09 19:00:00,71927.15,-55713.4
1034-02-10 07:00:00,72014.45,-55703.8
1034-02-10 19:00:00,72095.44,-55667.2
1034-02-11 07:00:00,72177.16,-55641.0
1034-02-11 19:00:00,72263.83,-55601.9
1034-02-12 07:00:00,72342.4,-55566.6
1034-02-12 19:00:00,72426.51,-55513.9
1034-02-13 07:00:00,72519.57,-55461.9
1034-02-13 19:00:00,72606.11,-55404.2
1034-02-14 07:00:00,72697.44,-55340.8
1034-02-14 19:00:00,72778.66,-55262.7
1034-02-15 07:00:00,72879.2,-55202.1
1034-02-15 19:00:00,72968.52,-55108.7
1034-02-16 07:00:00,73059.78,-55023.4
1034-02-16 19:00:00,73152.4,-54916.8
1034-02-17 07:00:00,73247.35,-54821.8
1034-02-17 19:00:00,73343.26,-54711.7
1034-02-18 07:00:00,73443.4,-54608.6
1034-02-18 19:00:00,73542.09,-54475.7
1034-02-19 07:00:00,73643.15,-54359.0
1034-02-19 19:00:00,73739.03,-54221.7
1034-02-20 07:00:00,73837.09,-54084.9
1034-02-20 19:00:00,73932.33,-53922.2
1034-02-21 07:00:00,74039.52,-53793.3
1034-02-21 19:00:00,74139.91,-53621.1
1034-02-22 07:00:00,74239.3,-53464.5
1034-02-22 19:00:00,74338.96,-53269.9
1034-02-23 07:00:00,74456.18,-53109.1
1034-02-23 19:00:00,74561.3,-52909.1
1034-02-24 07:00:00,74665.08,-52724.7
1034-02-24 19:00:00,74774.27,-52511.4
1034-02-25 07:00:00,74872.73,-52320.6
1034-02-25 19:00:00,74986.99,-52092.7
1034-02-26 07:00:00,75084.6,-51890.5
1034-02-26 19:00:00,75197.8,-51653.0
1034-02-27 07:00:00,75304.8,-51434.4
1034-02-27 19:00:00,75427.36,-51176.2
1034-02-28 07:00:00,75528.44,-50932.1
1034-02-28 19:00:00,75642.2,-50671.9
1034-03-01 07:00:00,75748.6,-50422.7
1034-03-01 19:00:00,75862.51,-50153.6
1034-03-02 07:00:00,75971.79,-49877.1
1034-03-02 19:00:00,76082.41,-49593.1
1034-03-03 07:00:00,76200.09,-49308.9
1034-03-03 19:00:00,76312.71,-48998.4
