Date,Right ascension,Declination
1025-01-01 07:00:00,18 52 20.61,-22 52 16.6
1025-01-01 19:00:00,18 55 02.78,-22 50 03.0
1025-01-02 07:00:00,18 57 46.12,-22 47 41.8
1025-01-02 19:00:00,19 00 28.09,-22 45 07.3
1025-01-03 07:00:00,19 03 11.22,-22 42 25.2
1025-01-03 19:00:00,19 05 52.97,-22 39 29.9
1025-01-04 07:00:00,19 08 35.87,-22 36 27.1
1025-01-04 19:00:00,19 11 17.36,-22 33 11.2
1025-01-05 07:00:00,19 13 59.99,-22 29 47.7
1025-01-05 19:00:00,19 16 41.21,-22 26 11.2
1025-01-06 07:00:00,19 19 23.55,-22 22 27.3
1025-01-06 19:00:00,19 22 04.46,-22 18 30.4
1025-01-07 07:00:00,19 24 46.48,-22 14 26.1
1025-01-07 19:00:00,19 27 27.06,-22 10 09.1
1025-01-08 07:00:00,19 30 08.73,-22 05 44.6
1025-01-08 19:00:00,19 32 48.95,-22 01 07.5
1025-01-09 07:00:00,19 35 30.26,-21 56 23.0
1025-01-09 19:00:00,19 38 10.11,-21 51 26.1
1025-01-10 07:00:00,19 40 51.03,-21 46 21.8
1025-01-10 19:00:00,19 43 30.47,-21 41 05.2
1025-01-11 07:00:00,19 46 10.99,-21 35 41.3
1025-01-11 19:00:00,19 48 50.01,-21 30 05.3
1025-01-12 07:00:00,19 51 30.10,-21 24 22.0
1025-01-12 19:00:00,19 54 08.68,-21 18 26.8
1025-01-13 07:00:00,19 56 48.32,-21 12 24.4
1025-01-13 19:00:00,19 59 26.45,-21 06 10.1
1025-01-14 07:00:00,20 02 05.62,-20 59 48.8
1025-01-14 19:00:00,20 04 43.28,-20 53 15.8
1025-01-15 07:00:00,20 07 21.97,-20 46 35.7
1025-01-15 19:00:00,20 09 59.15,-20 39 44.2
1025-01-16 07:00:00,20 12 37.35,-20 32 45.8
1025-01-16 19:00:00,20 15 14.02,-20 25 36.1
1025-01-17 07:00:00,20 17 51.71,-20 18 19.4
1025-01-17 19:00:00,20 20 27.87,-20 10 51.7
1025-01-18 07:00:00,20 23 05.04,-20 03 17.3
1025-01-18 19:00:00,20 25 40.67,-19 55 31.9
1025-01-19 07:00:00,20 28 17.31,-19 47 39.8
1025-01-19 19:00:00,20 30 52.41,-19 39 37.0
1025-01-20 07:00:00,20 33 28.51,-19 31 27.6
1025-01-20 19:00:00,20 36 03.06,-19 23 07.7
1025-01-21 07:00:00,20 38 38.61,-19 14 41.3
1025-01-21 19:00:00,20 41 12.60,-19 06 04.7
1025-01-22 07:00:00,20 43 47.59,-18 57 21.6
1025-01-22 19:00:00,20 46 21.03,-18 48 28.5
1025-01-23 07:00:00,20 48 55.45,-18 39 29.0
1025-01-23 19:00:00,20 51 28.32,-18 30 19.7
1025-01-24 07:00:00,20 54 02.17,-18 21 04.3
1025-01-24 19:00:00,20 56 34.46,-18 11 39.1
1025-01-25 07:00:00,20 59 07.74,-18 02 08.0
1025-01-25 19:00:00,21 01 39.45,-17 52 27.3
1025-01-26 07:00:00,21 04 12.15,-17 42 40.8
1025-01-26 19:00:00,21 06 43.29,-17 32 45.0
1025-01-27 07:00:00,21 09 15.40,-17 22 43.5
1025-01-27 19:00:00,21 11 45.95,-17 12 32.9
1025-01-28 07:00:00,21 14 17.48,-17 02 16.7
