Date,Right ascension,Declination
1029-01-01 07:00:00,23 15 59.94,-05 09 14.0
1029-01-01 19:00:00,23 17 47.86,-04 54 35.6
1029-01-02 07:00:00,23 19 37.91,-04 39 51.0
1029-01-02 19:00:00,23 21 24.80,-04 25 11.5
1029-01-03 07:00:00,23 23 13.84,-04 10 26.4
1029-01-03 19:00:00,23 24 59.69,-03 55 46.2
1029-01-04 07:00:00,23 26 47.71,-03 41 00.8
1029-01-04 19:00:00,23 28 32.52,-03 26 20.5
1029-01-05 07:00:00,23 30 19.52,-03 11 35.2
1029-01-05 19:00:00,23 32 03.26,-02 56 55.0
1029-01-06 07:00:00,23 33 49.22,-02 42 10.3
1029-01-06 19:00:00,23 35 31.89,-02 27 30.6
1029-01-07 07:00:00,23 37 16.81,-02 12 46.8
1029-01-07 19:00:00,23 38 58.39,-01 58 08.0
1029-01-08 07:00:00,23 40 42.25,-01 43 25.5
1029-01-08 19:00:00,23 42 22.73,-01 28 47.9
1029-01-09 07:00:00,23 44 05.53,-01 14 07.2
1029-01-09 19:00:00,23 45 44.89,-00 59 31.3
1029-01-10 07:00:00,23 47 26.59,-00 44 52.6
1029-01-10 19:00:00,23 49 04.82,-00 30 18.7
1029-01-11 07:00:00,23 50 45.42,-00 15 42.5
1029-01-11 19:00:00,23 52 22.50,-00 01 11.0
1029-01-12 07:00:00,23 54 01.97,+00 13 22.3
1029-01-12 19:00:00,23 55 37.86,+00 27 50.9
1029-01-13 07:00:00,23 57 16.18,+00 42 20.9
1029-01-13 19:00:00,23 58 50.86,+00 56 46.3
1029-01-14 07:00:00,00 00 28.00,+01 11 12.6
1029-01-14 19:00:00,00 02 01.45,+01 25 34.4
1029-01-15 07:00:00,00 03 37.39,+01 39 56.6
1029-01-15 19:00:00,00 05 09.57,+01 54 14.3
1029-01-16 07:00:00,00 06 44.26,+02 08 31.9
1029-01-16 19:00:00,00 08 15.14,+02 22 45.1
1029-01-17 07:00:00,00 09 48.56,+02 36 57.8
1029-01-17 19:00:00,00 11 18.09,+02 51 06.1
1029-01-18 07:00:00,00 12 50.19,+03 05 13.3
1029-01-18 19:00:00,00 14 18.34,+03 19 16.2
1029-01-19 07:00:00,00 15 49.09,+03 33 17.6
1029-01-19 19:00:00,00 17 15.81,+03 47 14.7
1029-01-20 07:00:00,00 18 45.16,+04 01 09.7
1029-01-20 19:00:00,00 20 10.40,+04 15 00.6
1029-01-21 07:00:00,00 21 38.30,+04 28 48.8
1029-01-21 19:00:00,00 23 02.01,+04 42 32.9
1029-01-22 07:00:00,00 24 28.41,+04 56 13.8
1029-01-22 19:00:00,00 25 50.53,+05 09 50.7
1029-01-23 07:00:00,00 27 15.38,+05 23 23.9
1029-01-23 19:00:00,00 28 35.87,+05 36 53.1
1029-01-24 07:00:00,00 29 59.11,+05 50 18.1
1029-01-24 19:00:00,00 31 17.89,+06 03 39.1
1029-01-25 07:00:00,00 32 39.45,+06 16 55.2
1029-01-25 19:00:00,00 33 56.46,+06 30 07.5
1029-01-26 07:00:00,00 35 16.30,+06 43 14.4
1029-01-26 19:00:00,00 36 31.47,+06 56 17.5
1029-01-27 07:00:00,00 37 49.50,+07 09 14.6
1029-01-27 19:00:00,00 39 02.76,+07 22 07.9
1029-01-28 07:00:00,00 40 18.91,+07 34 54.6
1029-01-28 19:00:00,00 41 30.20,+07 47 37.5
1029-01-29 07:00:00,00 42 44.40,+08 00 13.3
1029-01-29 19:00:00,00 43 53.62,+08 12 45.3
1029-01-30 07:00:00,00 45 05.79,+08 25 09.6
1029-01-30 19:00:00,00 46 12.87,+08 37 30.1
1029-01-31 07:00:00,00 47 22.94,+08 49 42.3
1029-01-31 19:00:00,00 48 27.78,+09 01 50.7
1029-02-01 07:00:00,00 49 35.66,+09 13 50.1
1029-02-01 19:00:00,00 50 38.19,+09 25 45.8
1029-02-02 07:00:00,00 51 43.79,+09 37 31.9
1029-02-02 19:00:00,00 52 43.92,+09 49 14.1
1029-02-03 07:00:00,00 53 47.16,+10 00 46.2
1029-02-03 19:00:00,00 54 44.79,+10 12 14.4
1029-02-04 07:00:00,00 55 45.58,+10 23 31.8
1029-02-04 19:00:00,00 56 40.62,+10 34 45.2
1029-02-05 07:00:00,00 57 38.87,+10 45 47.3
1029-02-05 19:00:00,00 58 31.22,+10 56 45.2
1029-02-06 07:00:00,00 59 26.83,+11 07 31.2
1029-02-06 19:00:00,01 00 16.40,+11 18 12.9
1029-02-07 07:00:00,01 01 09.26,+11 28 42.0
1029-02-07 19:00:00,01 01 55.94,+11 39 06.6
1029-02-08 07:00:00,01 02 45.96,+11 49 18.0
1029-02-08 19:00:00,01 03 29.64,+11 59 24.8
1029-02-09 07:00:00,01 04 16.70,+12 09 17.7
1029-02-09 19:00:00,01 04 57.28,+12 19 05.8
1029-02-10 07:00:00,01 05 41.28,+12 28 39.3
1029-02-10 19:00:00,01 06 18.63,+12 38 07.6
1029-02-11 07:00:00,01 06 59.46,+12 47 20.8
1029-02-11 19:00:00,01 07 33.46,+12 56 28.5
1029-02-12 07:00:00,01 08 11.00,+13 05 20.4
1029-02-12 19:00:00,01 08 41.54,+13 14 06.4
1029-02-13 07:00:00,01 09 15.67,+13 22 35.9
1029-02-13 19:00:00,01 09 42.63,+13 30 59.2
1029-02-14 07:00:00,01 10 13.23,+13 39 05.2
1029-02-14 19:00:00,01 10 36.49,+13 47 04.6
1029-02-15 07:00:00,01 11 03.45,+13 54 46.1
1029-02-15 19:00:00,01 11 22.89,+14 02 20.3
1029-02-16 07:00:00,01 11 46.09,+14 09 36.1
1029-02-16 19:00:00,01 12 01.59,+14 16 44.0
1029-02-17 07:00:00,01 12 20.91,+14 23 32.7
1029-02-17 19:00:00,01 12 32.37,+14 30 13.1
1029-02-18 07:00:00,01 12 47.71,+14 36 33.5
1029-02-18 19:00:00,01 12 55.00,+14 42 44.8
1029-02-19 07:00:00,01 13 06.26,+14 48 35.7
1029-02-19 19:00:00,01 13 09.30,+14 54 16.7
1029-02-20 07:00:00,01 13 16.38,+14 59 36.5
1029-02-20 19:00:00,01 13 15.08,+15 04 45.7
1029-02-21 07:00:00,01 13 17.90,+15 09 33.2
1029-02-21 19:00:00,01 13 12.17,+15 14 09.2
1029-02-22 07:00:00,01 13 10.66,+15 18 22.8
1029-02-22 19:00:00,01 13 00.44,+15 22 24.1
1029-02-23 07:00:00,01 12 54.55,+15 26 02.5
1029-02-23 19:00:00,01 12 39.80,+15 29 27.6
1029-02-24 07:00:00,01 12 29.48,+15 32 29.3
1029-02-24 19:00:00,01 12 10.18,+15 35 16.8
1029-02-25 07:00:00,01 11 55.42,+15 37 40.5
1029-02-25 19:00:00,01 11 31.55,+15 39 48.9
1029-02-26 07:00:00,01 11 12.36,+15 41 33.1
1029-02-26 19:00:00,01 10 43.96,+15 43 01.1
