Date,Right ascension,Declination
1022-01-01 07:00:00,20 10 26.86,-21 04 56.1
1022-01-01 19:00:00,20 13 04.70,-20 57 38.6
1022-01-02 07:00:00,20 15 43.60,-20 50 11.9
1022-01-02 19:00:00,20 18 20.90,-20 42 35.7
1022-01-03 07:00:00,20 20 59.25,-20 34 50.5
1022-01-03 19:00:00,20 23 35.98,-20 26 56.2
1022-01-04 07:00:00,20 26 13.76,-20 18 52.8
1022-01-04 19:00:00,20 28 49.92,-20 10 40.5
1022-01-05 07:00:00,20 31 27.12,-20 02 19.4
1022-01-05 19:00:00,20 34 02.69,-19 53 49.4
1022-01-06 07:00:00,20 36 39.30,-19 45 10.7
1022-01-06 19:00:00,20 39 14.27,-19 36 23.5
1022-01-07 07:00:00,20 41 50.27,-19 27 27.7
1022-01-07 19:00:00,20 44 24.64,-19 18 23.5
1022-01-08 07:00:00,20 47 00.03,-19 09 10.9
1022-01-08 19:00:00,20 49 33.78,-18 59 50.1
1022-01-09 07:00:00,20 52 08.56,-18 50 21.0
1022-01-09 19:00:00,20 54 41.69,-18 40 44.0
1022-01-10 07:00:00,20 57 15.84,-18 30 58.8
1022-01-10 19:00:00,20 59 48.35,-18 21 05.8
1022-01-11 07:00:00,21 02 21.87,-18 11 04.9
1022-01-11 19:00:00,21 04 53.75,-18 00 56.4
1022-01-12 07:00:00,21 07 26.64,-17 50 40.1
1022-01-12 19:00:00,21 09 57.89,-17 40 16.4
1022-01-13 07:00:00,21 12 30.15,-17 29 45.1
1022-01-13 19:00:00,21 15 00.77,-17 19 06.6
1022-01-14 07:00:00,21 17 32.40,-17 08 20.7
1022-01-14 19:00:00,21 20 02.40,-16 57 27.7
1022-01-15 07:00:00,21 22 33.40,-16 46 27.5
1022-01-15 19:00:00,21 25 02.77,-16 35 20.4
1022-01-16 07:00:00,21 27 33.14,-16 24 06.3
1022-01-16 19:00:00,21 30 01.89,-16 12 45.6
1022-01-17 07:00:00,21 32 31.65,-16 01 17.8
1022-01-17 19:00:00,21 34 59.77,-15 49 43.8
1022-01-18 07:00:00,21 37 28.91,-15 38 02.9
1022-01-18 19:00:00,21 39 56.43,-15 26 15.9
1022-01-19 07:00:00,21 42 24.96,-15 14 22.3
1022-01-19 19:00:00,21 44 51.87,-15 02 22.7
1022-01-20 07:00:00,21 47 19.80,-14 50 16.6
1022-01-20 19:00:00,21 49 46.12,-14 38 04.8
1022-01-21 07:00:00,21 52 13.46,-14 25 46.7
1022-01-21 19:00:00,21 54 39.19,-14 13 23.1
1022-01-22 07:00:00,21 57 05.94,-14 00 53.3
1022-01-22 19:00:00,21 59 31.10,-13 48 18.3
1022-01-23 07:00:00,22 01 57.28,-13 35 37.2
1022-01-23 19:00:00,22 04 21.87,-13 22 51.1
1022-01-24 07:00:00,22 06 47.49,-13 09 59.1
1022-01-24 19:00:00,22 09 11.52,-12 57 02.3
1022-01-25 07:00:00,22 11 36.59,-12 43 59.8
1022-01-25 19:00:00,22 14 00.08,-12 30 52.6
1022-01-26 07:00:00,22 16 24.62,-12 17 40.0
1022-01-26 19:00:00,22 18 47.59,-12 04 22.9
1022-01-27 07:00:00,22 21 11.60,-11 51 00.5
1022-01-27 19:00:00,22 23 34.05,-11 37 33.8
1022-01-28 07:00:00,22 25 57.55,-11 24 02.1
1022-01-28 19:00:00,22 28 19.50,-11 10 26.2
1022-01-29 07:00:00,22 30 42.52,-10 56 45.5
1022-01-29 19:00:00,22 33 03.98,-10 43 00.7
1022-01-30 07:00:00,22 35 26.51,-10 29 11.4
1022-01-30 19:00:00,22 37 47.50,-10 15 18.3
1022-01-31 07:00:00,22 40 09.57,-10 01 20.7
1022-01-31 19:00:00,22 42 30.11,-09 47 19.5
1022-02-01 07:00:00,22 44 51.73,-09 33 14.1
1022-02-01 19:00:00,22 47 11.82,-09 19 05.3
1022-02-02 07:00:00,22 49 33.01,-09 04 52.5
1022-02-02 19:00:00,22 51 52.68,-08 50 36.4
1022-02-03 07:00:00,22 54 13.45,-08 36 16.5
1022-02-03 19:00:00,22 56 32.71,-08 21 53.6
1022-02-04 07:00:00,22 58 53.08,-08 07 27.0
1022-02-04 19:00:00,23 01 11.95,-07 52 57.6
1022-02-05 07:00:00,23 03 31.93,-07 38 24.7
1022-02-05 19:00:00,23 05 50.43,-07 23 49.2
1022-02-06 07:00:00,23 08 10.05,-07 09 10.5
1022-02-06 19:00:00,23 10 28.18,-06 54 29.3
1022-02-07 07:00:00,23 12 47.45,-06 39 45.0
1022-02-07 19:00:00,23 15 05.25,-06 24 58.5
1022-02-08 07:00:00,23 17 24.19,-06 10 09.1
1022-02-08 19:00:00,23 19 41.66,-05 55 17.6
1022-02-09 07:00:00,23 22 00.29,-05 40 23.5
1022-02-09 19:00:00,23 24 17.46,-05 25 27.4
1022-02-10 07:00:00,23 26 35.80,-05 10 28.9
1022-02-10 19:00:00,23 28 52.69,-04 55 28.7
1022-02-11 07:00:00,23 31 10.75,-04 40 26.2
1022-02-11 19:00:00,23 33 27.38,-04 25 22.1
1022-02-12 07:00:00,23 35 45.18,-04 10 16.0
1022-02-12 19:00:00,23 38 01.57,-03 55 08.5
1022-02-13 07:00:00,23 40 19.15,-03 39 59.1
1022-02-13 19:00:00,23 42 35.31,-03 24 48.5
1022-02-14 07:00:00,23 44 52.67,-03 09 36.3
1022-02-14 19:00:00,23 47 08.63,-02 54 22.9
1022-02-15 07:00:00,23 49 25.81,-02 39 08.1
1022-02-15 19:00:00,23 51 41.59,-02 23 52.4
1022-02-16 07:00:00,23 53 58.60,-02 08 35.5
1022-02-16 19:00:00,23 56 14.22,-01 53 17.8
1022-02-17 07:00:00,23 58 31.07,-01 37 59.1
1022-02-17 19:00:00,00 00 46.56,-01 22 39.8
1022-02-18 07:00:00,00 03 03.29,-01 07 19.6
1022-02-18 19:00:00,00 05 18.66,-00 51 59.0
1022-02-19 07:00:00,00 07 35.28,-00 36 37.8
1022-02-19 19:00:00,00 09 50.56,-00 21 16.3
1022-02-20 07:00:00,00 12 07.10,-00 05 54.3
