Date,Right ascension (in seconds),Declination (in arc seconds)
1027-01-01 07:00:00,77266.4,-60071.4
1027-01-01 19:00:00,77404.72,-59395.6
1027-01-02 07:00:00,77566.94,-58680.7
1027-01-02 19:00:00,77696.22,-57962.4
1027-01-03 07:00:00,77841.52,-57259.9
1027-01-03 19:00:00,77983.71,-56530.2
1027-01-04 07:00:00,78141.08,-55797.9
1027-01-04 19:00:00,78290.82,-55050.9
1027-01-05 07:00:00,78431.22,-54306.6
1027-01-05 19:00:00,78593.72,-53566.0
1027-01-06 07:00:00,78729.41,-52798.5
1027-01-06 19:00:00,78869.27,-52077.4
1027-01-07 07:00:00,79002.48,-51284.4
1027-01-07 19:00:00,79151.98,-50515.0
1027-01-08 07:00:00,79299.55,-49739.0
1027-01-08 19:00:00,79443.97,-48977.6
1027-01-09 07:00:00,79586.93,-48158.3
1027-01-09 19:00:00,79722.59,-47360.2
1027-01-10 07:00:00,79870.87,-46546.4
1027-01-10 19:00:00,80016.91,-45765.7
1027-01-11 07:00:00,80161.38,-44964.0
1027-01-11 19:00:00,80319.13,-44187.3
1027-01-12 07:00:00,80458.93,-43299.0
1027-01-12 19:00:00,80592.32,-42481.1
1027-01-13 07:00:00,80747.58,-41666.5
1027-01-13 19:00:00,80873.06,-40831.7
1027-01-14 07:00:00,81004.8,-39997.3
1027-01-14 19:00:00,81174.07,-39157.1
1027-01-15 07:00:00,81289.95,-38301.3
1027-01-15 19:00:00,81438.94,-37466.3
1027-01-16 07:00:00,81565.77,-36621.8
1027-01-16 19:00:00,81724.29,-35755.5
1027-01-17 07:00:00,81859.66,-34917.2
1027-01-17 19:00:00,82001.68,-34010.1
1027-01-18 07:00:00,82151.7,-33130.5
1027-01-18 19:00:00,82279.33,-32255.3
1027-01-19 07:00:00,82404.81,-31386.7
1027-01-19 19:00:00,82539.65,-30501.5
1027-01-20 07:00:00,82687.07,-29606.4
1027-01-20 19:00:00,82837.66,-28725.3
1027-01-21 07:00:00,82974.09,-27851.2
1027-01-21 19:00:00,83101.77,-26972.3
1027-01-22 07:00:00,83249.63,-26071.2
1027-01-22 19:00:00,83383.44,-25162.4
1027-01-23 07:00:00,83521.13,-24257.6
1027-01-23 19:00:00,83659.75,-23359.2
1027-01-24 07:00:00,83784.47,-22456.2
1027-01-24 19:00:00,83918.61,-21574.1
1027-01-25 07:00:00,84050.68,-20630.1
1027-01-25 19:00:00,84209.58,-19744.6
1027-01-26 07:00:00,84341.29,-18806.2
1027-01-26 19:00:00,84484.51,-17889.2
1027-01-27 07:00:00,84611.18,-16960.7
1027-01-27 19:00:00,84736.93,-16071.9
1027-01-28 07:00:00,84873.27,-15147.9
1027-01-28 19:00:00,85000.52,-14192.0
1027-01-29 07:00:00,85145.32,-13312.6
1027-01-29 19:00:00,85277.85,-12322.8
1027-01-30 07:00:00,85420.93,-11434.9
1027-01-30 19:00:00,85560.41,-10498.4
1027-01-31 07:00:00,85687.73,-9551.1
