Date,Right ascension (in seconds),Declination (in arc seconds)
1020-01-01 07:00:00,63113.99,-78573.8
1020-01-01 19:00:00,63305.8,-78712.1
1020-01-02 07:00:00,63439.55,-78841.1
1020-01-02 19:00:00,63598.57,-79010.4
1020-01-03 07:00:00,63801.54,-79172.9
1020-01-03 19:00:00,63931.75,-79302.4
1020-01-04 07:00:00,64081.59,-79474.3
1020-01-04 19:00:00,64256.61,-79569.3
1020-01-05 07:00:00,64407.08,-79727.6
1020-01-05 19:00:00,64556.89,-79784.0
1020-01-06 07:00:00,64713.8,-79831.8
1020-01-06 19:00:00,64876.57,-79925.2
1020-01-07 07:00:00,65052.76,-80008.2
1020-01-07 19:00:00,65192.68,-80194.2
1020-01-08 07:00:00,65353.35,-80149.7
1020-01-08 19:00:00,65506.42,-80190.6
1020-01-09 07:00:00,65669.8,-80230.5
1020-01-09 19:00:00,65805.62,-80258.1
1020-01-10 07:00:00,65947.3,-80243.3
1020-01-10 19:00:00,66146.3,-80225.3
1020-01-11 07:00:00,66284.93,-80260.8
1020-01-11 19:00:00,66451.24,-80286.7
1020-01-12 07:00:00,66609.5,-80217.5
1020-01-12 19:00:00,66781.58,-80206.6
1020-01-13 07:00:00,66926.19,-80143.8
1020-01-13 19:00:00,67081.39,-80010.5
1020-01-14 07:00:00,67263.57,-80090.2
1020-01-14 19:00:00,67424.13,-79982.0
1020-01-15 07:00:00,67555.12,-79822.1
1020-01-15 19:00:00,67730.59,-79818.8
1020-01-16 07:00:00,67904.26,-79664.1
1020-01-16 19:00:00,68042.18,-79578.5
1020-01-17 07:00:00,68212.66,-79473.0
1020-01-17 19:00:00,68367.82,-79261.7
1020-01-18 07:00:00,68533.16,-79167.8
1020-01-18 19:00:00,68676.86,-78956.0
1020-01-19 07:00:00,68849.56,-78920.2
1020-01-19 19:00:00,69014.25,-78680.2
1020-01-20 07:00:00,69172.03,-78456.8
1020-01-20 19:00:00,69331.91,-78358.9
1020-01-21 07:00:00,69499.54,-78138.5
1020-01-21 19:00:00,69630.37,-77934.1
1020-01-22 07:00:00,69790.4,-77612.2
1020-01-22 19:00:00,69951.42,-77502.7
1020-01-23 07:00:00,70077.86,-77248.1
1020-01-23 19:00:00,70267.76,-76997.9
1020-01-24 07:00:00,70437.6,-76717.3
1020-01-24 19:00:00,70585.05,-76445.6
1020-01-25 07:00:00,70751.09,-76172.7
1020-01-25 19:00:00,70912.22,-75851.7
1020-01-26 07:00:00,71062.6,-75620.1
1020-01-26 19:00:00,71199.43,-75461.7
1020-01-27 07:00:00,71365.26,-75058.3
1020-01-27 19:00:00,71513.93,-74723.7
1020-01-28 07:00:00,71681.69,-74376.0
1020-01-28 19:00:00,71824.83,-74042.2
1020-01-29 07:00:00,71992.67,-73739.5
1020-01-29 19:00:00,72110.04,-73276.8
1020-01-30 07:00:00,72297.16,-72897.7
1020-01-30 19:00:00,72445.47,-72555.2
1020-01-31 07:00:00,72620.31,-72181.8
1020-01-31 19:00:00,72768.17,-71786.5
1020-02-01 07:00:00,72918.68,-71399.5
1020-02-01 19:00:00,73086.25,-70969.0
1020-02-02 07:00:00,73240.14,-70523.4
1020-02-02 19:00:00,73384.62,-70078.9
1020-02-03 07:00:00,73512.36,-69704.6
1020-02-03 19:00:00,73691.73,-69240.5
1020-02-04 07:00:00,73833.49,-68869.1
1020-02-04 19:00:00,73970.27,-68300.1
1020-02-05 07:00:00,74133.5,-67745.6
1020-02-05 19:00:00,74315.74,-67423.0
1020-02-06 07:00:00,74437.96,-66953.9
1020-02-06 19:00:00,74602.08,-66375.8
1020-02-07 07:00:00,74754.77,-65871.3
1020-02-07 19:00:00,74914.78,-65407.5
1020-02-08 07:00:00,75056.75,-64746.8
1020-02-08 19:00:00,75189.99,-64343.7
1020-02-09 07:00:00,75388.59,-63799.8
1020-02-09 19:00:00,75513.57,-63279.7
1020-02-10 07:00:00,75657.69,-62812.7
1020-02-10 19:00:00,75782.64,-62207.8
1020-02-11 07:00:00,75952.98,-61567.6
1020-02-11 19:00:00,76117.63,-61065.5
1020-02-12 07:00:00,76211.44,-60540.8
1020-02-12 19:00:00,76389.17,-59872.1
1020-02-13 07:00:00,76550.69,-59302.5
1020-02-13 19:00:00,76685.94,-58684.6
1020-02-14 07:00:00,76843.68,-58130.1
1020-02-14 19:00:00,76996.81,-57478.2
1020-02-15 07:00:00,77159.97,-56936.8
1020-02-15 19:00:00,77271.61,-56267.2
1020-02-16 07:00:00,77448.44,-55628.2
1020-02-16 19:00:00,77560.1,-54900.7
1020-02-17 07:00:00,77712.36,-54324.7
1020-02-17 19:00:00,77850.72,-53674.4
1020-02-18 07:00:00,78011.15,-53035.4
1020-02-18 19:00:00,78173.57,-52405.4
1020-02-19 07:00:00,78322.67,-51699.2
1020-02-19 19:00:00,78496.94,-51022.5
1020-02-20 07:00:00,78597.71,-50309.2
1020-02-20 19:00:00,78757.99,-49703.0
1020-02-21 07:00:00,78891.19,-48959.7
1020-02-21 19:00:00,79018.34,-48278.2
1020-02-22 07:00:00,79182.84,-47566.8
1020-02-22 19:00:00,79324.36,-46855.6
1020-02-23 07:00:00,79463.08,-46233.5
1020-02-23 19:00:00,79601.24,-45462.1
1020-02-24 07:00:00,79738.4,-44745.8
1020-02-24 19:00:00,79906.08,-44019.6
1020-02-25 07:00:00,80035.54,-43287.1
1020-02-25 19:00:00,80184.03,-42509.7
1020-02-26 07:00:00,80342.63,-41731.9
1020-02-26 19:00:00,80462.29,-41049.4
1020-02-27 07:00:00,80604.7,-40288.6
1020-02-27 19:00:00,80759.49,-39527.1
1020-02-28 07:00:00,80900.36,-38826.0
1020-02-28 19:00:00,81052.94,-38042.6
1020-02-29 07:00:00,81165.33,-37234.5
1020-02-29 19:00:00,81299.55,-36433.4
1020-03-01 07:00:00,81473.71,-35648.9
1020-03-01 19:00:00,81584.13,-34850.9
1020-03-02 07:00:00,81726.15,-34087.2
1020-03-02 19:00:00,81873.18,-33218.2
1020-03-03 07:00:00,82028.62,-32497.4
1020-03-03 19:00:00,82176.97,-31814.0
1020-03-04 07:00:00,82280.79,-30960.3
1020-03-04 19:00:00,82433.6,-30052.1
1020-03-05 07:00:00,82551.35,-29324.9
1020-03-05 19:00:00,82720.62,-28549.0
1020-03-06 07:00:00,82842.95,-27661.7
1020-03-06 19:00:00,82978.44,-26910.1
1020-03-07 07:00:00,83143.34,-25991.6
1020-03-07 19:00:00,83257.05,-25208.4
1020-03-08 07:00:00,83414.42,-24437.0
1020-03-08 19:00:00,83545.18,-23621.2
1020-03-09 07:00:00,83686.2,-22731.4
1020-03-09 19:00:00,83804.83,-21869.0
1020-03-10 07:00:00,83961.86,-21022.8
1020-03-10 19:00:00,84095.62,-20234.3
1020-03-11 07:00:00,84250.6,-19379.1
1020-03-11 19:00:00,84361.04,-18495.7
1020-03-12 07:00:00,84483.98,-17642.2
1020-03-12 19:00:00,84631.2,-16817.3
1020-03-13 07:00:00,84752.34,-15957.0
1020-03-13 19:00:00,84909.02,-15079.2
1020-03-14 07:00:00,85067.92,-14238.9
1020-03-14 19:00:00,85190.08,-13379.1
1020-03-15 07:00:00,85346.95,-12523.8
1020-03-15 19:00:00,85449.54,-11754.8
