Date,Right ascension,Declination
1041-02-23 07:00:00,23 23 07.87,-05 32 12.0
1041-02-23 19:00:00,23 25 25.25,-05 17 34.7
1041-02-24 07:00:00,23 27 43.74,-05 02 55.8
1041-02-24 19:00:00,23 30 00.87,-04 48 14.3
1041-02-25 07:00:00,23 32 19.11,-04 33 31.4
1041-02-25 19:00:00,23 34 36.00,-04 18 46.0
1041-02-26 07:00:00,23 36 54.02,-04 03 59.3
1041-02-26 19:00:00,23 39 10.70,-03 49 10.4
1041-02-27 07:00:00,23 41 28.52,-03 34 20.5
1041-02-27 19:00:00,23 43 45.01,-03 19 28.4
1041-02-28 07:00:00,23 46 02.64,-03 04 35.5
1041-02-28 19:00:00,23 48 18.95,-02 49 40.7
1041-03-01 07:00:00,23 50 36.42,-02 34 45.1
1041-03-01 19:00:00,23 52 52.58,-02 19 47.9
1041-03-02 07:00:00,23 55 09.91,-02 04 50.0
1041-03-02 19:00:00,23 57 25.94,-01 49 50.8
1041-03-03 07:00:00,23 59 43.13,-01 34 51.1
1041-03-03 19:00:00,00 01 59.05,-01 19 50.1
1041-03-04 07:00:00,00 04 16.15,-01 04 48.9
1041-03-04 19:00:00,00 06 31.97,-00 49 46.7
1041-03-05 07:00:00,00 08 48.98,-00 34 44.3
1041-03-05 19:00:00,00 11 04.72,-00 19 41.1
1041-03-06 07:00:00,00 13 21.67,-00 04 38.0
1041-03-06 19:00:00,00 15 37.36,+00 10 25.7
1041-03-07 07:00:00,00 17 54.26,+00 25 29.2
1041-03-07 19:00:00,00 20 09.91,+00 40 33.2
1041-03-08 07:00:00,00 22 26.78,+00 55 36.7
1041-03-08 19:00:00,00 24 42.42,+01 10 40.5
1041-03-09 07:00:00,00 26 59.29,+01 25 43.7
1041-03-09 19:00:00,00 29 14.93,+01 40 47.0
1041-03-10 07:00:00,00 31 31.82,+01 55 49.5
1041-03-10 19:00:00,00 33 47.48,+02 10 51.9
1041-03-11 07:00:00,00 36 04.41,+02 25 53.4
1041-03-11 19:00:00,00 38 20.12,+02 40 54.6
1041-03-12 07:00:00,00 40 37.09,+02 55 54.6
1041-03-12 19:00:00,00 42 52.87,+03 10 54.2
1041-03-13 07:00:00,00 45 09.93,+03 25 52.5
1041-03-13 19:00:00,00 47 25.79,+03 40 50.1
1041-03-14 07:00:00,00 49 42.95,+03 55 46.3
1041-03-14 19:00:00,00 51 58.92,+04 10 41.6
1041-03-15 07:00:00,00 54 16.19,+04 25 35.4
1041-03-15 19:00:00,00 56 32.29,+04 40 28.0
1041-03-16 07:00:00,00 58 49.70,+04 55 18.9
1041-03-16 19:00:00,01 01 05.95,+05 10 08.6
1041-03-17 07:00:00,01 03 23.53,+05 24 56.3
1041-03-17 19:00:00,01 05 39.95,+05 39 42.6
1041-03-18 07:00:00,01 07 57.70,+05 54 26.8
1041-03-18 19:00:00,01 10 14.31,+06 09 09.3
1041-03-19 07:00:00,01 12 32.27,+06 23 49.6
1041-03-19 19:00:00,01 14 49.09,+06 38 28.1
1041-03-20 07:00:00,01 17 07.27,+06 53 04.2
1041-03-20 19:00:00,01 19 24.32,+07 07 38.2
1041-03-21 07:00:00,01 21 42.74,+07 22 09.7
1041-03-21 19:00:00,01 24 00.04,+07 36 39.0
1041-03-22 07:00:00,01 26 18.72,+07 51 05.5
1041-03-22 19:00:00,01 28 36.30,+08 05 29.6
1041-03-23 07:00:00,01 30 55.26,+08 19 50.8
1041-03-23 19:00:00,01 33 13.13,+08 34 09.5
1041-03-24 07:00:00,01 35 32.40,+08 48 25.0
1041-03-24 19:00:00,01 37 50.57,+09 02 37.8
1041-03-25 07:00:00,01 40 10.16,+09 16 47.2
1041-03-25 19:00:00,01 42 28.66,+09 30 53.8
1041-03-26 07:00:00,01 44 48.59,+09 44 56.9
1041-03-26 19:00:00,01 47 07.43,+09 58 56.9
1041-03-27 07:00:00,01 49 27.72,+10 12 53.2
1041-03-27 19:00:00,01 51 46.93,+10 26 46.2
1041-03-28 07:00:00,01 54 07.60,+10 40 35.4
1041-03-28 19:00:00,01 56 27.19,+10 54 21.1
1041-03-29 07:00:00,01 58 48.24,+11 08 02.8
1041-03-29 19:00:00,02 01 08.23,+11 21 40.8
1041-03-30 07:00:00,02 03 29.69,+11 35 14.6
1041-03-30 19:00:00,02 05 50.09,+11 48 44.6
1041-03-31 07:00:00,02 08 11.98,+12 02 10.1
1041-03-31 19:00:00,02 10 32.80,+12 15 31.6
1041-04-01 07:00:00,02 12 55.12,+12 28 48.5
1041-04-01 19:00:00,02 15 16.39,+12 42 01.2
1041-04-02 07:00:00,02 17 39.16,+12 55 09.1
1041-04-02 19:00:00,02 20 00.88,+13 08 12.6
1041-04-03 07:00:00,02 22 24.11,+13 21 11.1
1041-04-03 19:00:00,02 24 46.30,+13 34 05.0
1041-04-04 07:00:00,02 27 10.00,+13 46 53.7
1041-04-04 19:00:00,02 29 32.66,+13 59 37.7
1041-04-05 07:00:00,02 31 56.85,+14 12 16.2
1041-04-05 19:00:00,02 34 20.00,+14 24 49.9
1041-04-06 07:00:00,02 36 44.69,+14 37 17.9
1041-04-06 19:00:00,02 39 08.32,+14 49 40.8
1041-04-07 07:00:00,02 41 33.52,+15 01 57.9
1041-04-07 19:00:00,02 43 57.66,+15 14 09.8
1041-04-08 07:00:00,02 46 23.37,+15 26 15.6
1041-04-08 19:00:00,02 48 48.02,+15 38 16.0
1041-04-09 07:00:00,02 51 14.25,+15 50 10.2
1041-04-09 19:00:00,02 53 39.43,+16 01 58.8
1041-04-10 07:00:00,02 56 06.19,+16 13 41.0
1041-04-10 19:00:00,02 58 31.89,+16 25 17.4
1041-04-11 07:00:00,03 00 59.19,+16 36 47.2
1041-04-11 19:00:00,03 03 25.43,+16 48 11.0
1041-04-12 07:00:00,03 05 53.27,+16 59 28.1
1041-04-12 19:00:00,03 08 20.05,+17 10 39.0
1041-04-13 07:00:00,03 10 48.43,+17 21 42.9
1041-04-13 19:00:00,03 13 15.76,+17 32 40.6
1041-04-14 07:00:00,03 15 44.69,+17 43 31.1
1041-04-14 19:00:00,03 18 12.57,+17 54 15.2
1041-04-15 07:00:00,03 20 42.06,+18 04 51.8
1041-04-15 19:00:00,03 23 10.49,+18 15 21.9
1041-04-16 07:00:00,03 25 40.53,+18 25 44.3
1041-04-16 19:00:00,03 28 09.52,+18 36 00.1
1041-04-17 07:00:00,03 30 40.12,+18 46 08.0
1041-04-17 19:00:00,03 33 09.66,+18 56 09.1
1041-04-18 07:00:00,03 35 40.82,+19 06 02.1
1041-04-18 19:00:00,03 38 10.91,+19 15 48.2
1041-04-19 07:00:00,03 40 42.64,+19 25 26.0
1041-04-19 19:00:00,03 43 13.28,+19 34 56.7
1041-04-20 07:00:00,03 45 45.56,+19 44 18.9
1041-04-20 19:00:00,03 48 16.75,+19 53 33.9
1041-04-21 07:00:00,03 50 49.59,+20 02 40.3
1041-04-21 19:00:00,03 53 21.33,+20 11 39.3
1041-04-22 07:00:00,03 55 54.72,+20 20 29.4
1041-04-22 19:00:00,03 58 27.00,+20 29 12.0
1041-04-23 07:00:00,04 01 00.93,+20 37 45.6
1041-04-23 19:00:00,04 03 33.75,+20 46 11.6
1041-04-24 07:00:00,04 06 08.22,+20 54 28.2
1041-04-24 19:00:00,04 08 41.58,+21 02 37.2
1041-04-25 07:00:00,04 11 16.58,+21 10 36.7
1041-04-25 19:00:00,04 13 50.45,+21 18 28.4
1041-04-26 07:00:00,04 16 25.97,+21 26 10.3
1041-04-26 19:00:00,04 19 00.36,+21 33 44.4
1041-04-27 07:00:00,04 21 36.39,+21 41 08.6
1041-04-27 19:00:00,04 24 11.27,+21 48 24.7
1041-04-28 07:00:00,04 26 47.80,+21 55 30.8
1041-04-28 19:00:00,04 29 23.16,+22 02 28.7
1041-04-29 07:00:00,04 32 00.17,+22 09 16.3
1041-04-29 19:00:00,04 34 36.01,+22 15 55.8
1041-04-30 07:00:00,04 37 13.49,+22 22 24.8
1041-04-30 19:00:00,04 39 49.78,+22 28 45.4
1041-05-01 07:00:00,04 42 27.70,+22 34 55.5
1041-05-01 19:00:00,04 45 04.42,+22 40 57.1
1041-05-02 07:00:00,04 47 42.77,+22 46 48.0
1041-05-02 19:00:00,04 50 19.91,+22 52 30.3
1041-05-03 07:00:00,04 52 58.67,+22 58 01.7
1041-05-03 19:00:00,04 55 36.21,+23 03 24.6
1041-05-04 07:00:00,04 58 15.35,+23 08 36.2
1041-05-04 19:00:00,05 00 53.26,+23 13 39.3
1041-05-05 07:00:00,05 03 32.76,+23 18 31.1
1041-05-05 19:00:00,05 06 11.02,+23 23 14.3
1041-05-06 07:00:00,05 08 50.87,+23 27 45.9
1041-05-06 19:00:00,05 11 29.44,+23 32 08.9
1041-05-07 07:00:00,05 14 09.61,+23 36 20.2
1041-05-07 19:00:00,05 16 48.48,+23 40 22.9
1041-05-08 07:00:00,05 19 28.93,+23 44 13.7
1041-05-08 19:00:00,05 22 08.08,+23 47 55.8
1041-05-09 07:00:00,05 24 48.80,+23 51 26.0
1041-05-09 19:00:00,05 27 28.19,+23 54 47.4
1041-05-10 07:00:00,05 30 09.14,+23 57 56.7
1041-05-10 19:00:00,05 32 48.75,+24 00 57.3
1041-05-11 07:00:00,05 35 29.92,+24 03 45.7
1041-05-11 19:00:00,05 38 09.72,+24 06 25.3
1041-05-12 07:00:00,05 40 51.06,+24 08 52.7
1041-05-12 19:00:00,05 43 31.03,+24 11 11.2
1041-05-13 07:00:00,05 46 12.52,+24 13 17.3
1041-05-13 19:00:00,05 48 52.62,+24 15 14.7
1041-05-14 07:00:00,05 51 34.23,+24 16 59.5
1041-05-14 19:00:00,05 54 14.44,+24 18 35.6
1041-05-15 07:00:00,05 56 56.14,+24 19 59.1
1041-05-15 19:00:00,05 59 36.42,+24 21 13.9
1041-05-16 07:00:00,06 02 18.19,+24 22 15.9
1041-05-16 19:00:00,06 04 58.51,+24 23 09.3
1041-05-17 07:00:00,06 07 40.32,+24 23 49.9
1041-05-17 19:00:00,06 10 20.66,+24 24 21.8
1041-05-18 07:00:00,06 13 02.46,+24 24 40.9
1041-05-18 19:00:00,06 15 42.79,+24 24 51.3
1041-05-19 07:00:00,06 18 24.57,+24 24 48.9
1041-05-19 19:00:00,06 21 04.85,+24 24 37.8
1041-05-20 07:00:00,06 23 46.57,+24 24 13.9
1041-05-20 19:00:00,06 26 26.78,+24 23 41.4
1041-05-21 07:00:00,06 29 08.42,+24 22 55.9
1041-05-21 19:00:00,06 31 48.53,+24 22 01.9
1041-05-22 07:00:00,06 34 30.05,+24 20 54.9
1041-05-22 19:00:00,06 37 10.03,+24 19 39.5
1041-05-23 07:00:00,06 39 51.41,+24 18 11.1
1041-05-23 19:00:00,06 42 31.22,+24 16 34.3
1041-05-24 07:00:00,06 45 12.43,+24 14 44.5
1041-05-24 19:00:00,06 47 52.06,+24 12 46.4
1041-05-25 07:00:00,06 50 33.07,+24 10 35.2
1041-05-25 19:00:00,06 53 12.47,+24 08 15.9
1041-05-26 07:00:00,06 55 53.25,+24 05 43.5
1041-05-26 19:00:00,06 58 32.41,+24 03 03.0
1041-05-27 07:00:00,07 01 12.93,+24 00 09.4
1041-05-27 19:00:00,07 03 51.81,+23 57 08.0
1041-05-28 07:00:00,07 06 32.04,+23 53 53.3
1041-05-28 19:00:00,07 09 10.62,+23 50 31.0
1041-05-29 07:00:00,07 11 50.54,+23 46 55.5
1041-05-29 19:00:00,07 14 28.79,+23 43 12.3
1041-05-30 07:00:00,07 17 08.36,+23 39 16.1
1041-05-30 19:00:00,07 19 46.25,+23 35 12.3
1041-05-31 07:00:00,07 22 25.45,+23 30 55.5
1041-05-31 19:00:00,07 25 02.95,+23 26 31.3
1041-06-01 07:00:00,07 27 41.76,+23 21 54.1
1041-06-01 19:00:00,07 30 18.85,+23 17 09.7
1041-06-02 07:00:00,07 32 57.23,+23 12 12.2
1041-06-02 19:00:00,07 35 33.89,+23 07 07.7
1041-06-03 07:00:00,07 38 11.82,+23 01 50.3
1041-06-03 19:00:00,07 40 48.02,+22 56 26.0
1041-06-04 07:00:00,07 43 25.49,+22 50 48.8
1041-06-04 19:00:00,07 46 01.20,+22 45 04.9
1041-06-05 07:00:00,07 48 38.18,+22 39 08.2
1041-06-05 19:00:00,07 51 13.39,+22 33 04.8
1041-06-06 07:00:00,07 53 49.86,+22 26 48.8
1041-06-06 19:00:00,07 56 24.55,+22 20 26.3
1041-06-07 07:00:00,07 59 00.48,+22 13 51.3
