Date,Right ascension,Declination
1040-01-01 07:00:00,22 36 17.07,-10 31 53.8
1040-01-01 19:00:00,22 38 32.05,-10 17 30.8
1040-01-02 07:00:00,22 40 48.43,-10 03 00.1
1040-01-02 19:00:00,22 43 02.84,-09 48 29.5
1040-01-03 07:00:00,22 45 18.65,-09 33 51.6
1040-01-03 19:00:00,22 47 32.50,-09 19 13.9
1040-01-04 07:00:00,22 49 47.77,-09 04 29.1
1040-01-04 19:00:00,22 52 01.07,-08 49 44.7
1040-01-05 07:00:00,22 54 15.80,-08 34 53.4
1040-01-05 19:00:00,22 56 28.58,-08 20 02.6
1040-01-06 07:00:00,22 58 42.79,-08 05 05.2
1040-01-06 19:00:00,23 00 55.05,-07 50 08.4
1040-01-07 07:00:00,23 03 08.76,-07 35 05.3
1040-01-07 19:00:00,23 05 20.53,-07 20 02.9
1040-01-08 07:00:00,23 07 33.76,-07 04 54.4
1040-01-08 19:00:00,23 09 45.04,-06 49 46.7
1040-01-09 07:00:00,23 11 57.81,-06 34 33.2
1040-01-09 19:00:00,23 14 08.63,-06 19 20.6
1040-01-10 07:00:00,23 16 20.95,-06 04 02.5
1040-01-10 19:00:00,23 18 31.33,-05 48 45.3
1040-01-11 07:00:00,23 20 43.22,-05 33 22.9
1040-01-11 19:00:00,23 22 53.17,-05 18 01.5
1040-01-12 07:00:00,23 25 04.65,-05 02 35.2
1040-01-12 19:00:00,23 27 14.19,-04 47 10.0
1040-01-13 07:00:00,23 29 25.27,-04 31 40.2
1040-01-13 19:00:00,23 31 34.42,-04 16 11.4
1040-01-14 07:00:00,23 33 45.12,-04 00 38.5
1040-01-14 19:00:00,23 35 53.89,-03 45 06.6
1040-01-15 07:00:00,23 38 04.23,-03 29 30.9
1040-01-15 19:00:00,23 40 12.64,-03 13 56.3
1040-01-16 07:00:00,23 42 22.64,-02 58 18.1
1040-01-16 19:00:00,23 44 30.70,-02 42 41.1
1040-01-17 07:00:00,23 46 40.36,-02 27 00.9
1040-01-17 19:00:00,23 48 48.09,-02 11 21.9
1040-01-18 07:00:00,23 50 57.44,-01 55 40.1
1040-01-18 19:00:00,23 53 04.86,-01 39 59.5
1040-01-19 07:00:00,23 55 13.90,-01 24 16.3
1040-01-19 19:00:00,23 57 21.01,-01 08 34.4
1040-01-20 07:00:00,23 59 29.77,-00 52 50.3
1040-01-20 19:00:00,00 01 36.59,-00 37 07.5
1040-01-21 07:00:00,00 03 45.08,-00 21 22.9
1040-01-21 19:00:00,00 05 51.63,-00 05 39.6
1040-01-22 07:00:00,00 07 59.86,+00 10 05.2
1040-01-22 19:00:00,00 10 06.15,+00 25 48.7
1040-01-23 07:00:00,00 12 14.13,+00 41 33.3
1040-01-23 19:00:00,00 14 20.17,+00 57 16.6
1040-01-24 07:00:00,00 16 27.93,+01 13 00.7
1040-01-24 19:00:00,00 18 33.74,+01 28 43.4
1040-01-25 07:00:00,00 20 41.29,+01 44 26.7
1040-01-25 19:00:00,00 22 46.88,+02 00 08.5
1040-01-26 07:00:00,00 24 54.22,+02 15 50.5
1040-01-26 19:00:00,00 26 59.61,+02 31 31.0
1040-01-27 07:00:00,00 29 06.77,+02 47 11.4
1040-01-27 19:00:00,00 31 11.97,+03 02 50.4
