Date,Right ascension (in seconds),Declination (in arc seconds)
1048-01-01 07:00:00,81483.21,-37266.6
1048-01-01 19:00:00,81614.28,-36427.2
1048-01-02 07:00:00,81758.07,-35464.8
1048-01-02 19:00:00,81879.8,-34680.1
1048-01-03 07:00:00,82020.77,-33791.9
1048-01-03 19:00:00,82143.39,-32852.0
1048-01-04 07:00:00,82275.72,-32000.4
1048-01-04 19:00:00,82440.59,-31112.9
1048-01-05 07:00:00,82556.2,-30236.8
1048-01-05 19:00:00,82671.92,-29289.4
1048-01-06 07:00:00,82828.05,-28443.5
1048-01-06 19:00:00,82946.12,-27510.8
1048-01-07 07:00:00,83088.06,-26649.3
1048-01-07 19:00:00,83204.16,-25721.1
1048-01-08 07:00:00,83355.72,-24776.2
1048-01-08 19:00:00,83485.62,-23905.8
1048-01-09 07:00:00,83608.66,-22954.2
1048-01-09 19:00:00,83733.42,-22092.5
1048-01-10 07:00:00,83865.34,-21163.8
1048-01-10 19:00:00,83999.32,-20180.4
1048-01-11 07:00:00,84136.31,-19263.6
1048-01-11 19:00:00,84269.41,-18363.1
1048-01-12 07:00:00,84384.32,-17418.8
1048-01-12 19:00:00,84507.36,-16471.4
1048-01-13 07:00:00,84649.61,-15582.3
1048-01-13 19:00:00,84776.88,-14614.8
1048-01-14 07:00:00,84922.09,-13750.9
1048-01-14 19:00:00,85037.39,-12788.9
1048-01-15 07:00:00,85178.4,-11896.8
1048-01-15 19:00:00,85308.5,-10990.4
1048-01-16 07:00:00,85428.19,-9993.4
1048-01-16 19:00:00,85543.62,-9025.6
1048-01-17 07:00:00,85677.22,-8098.4
1048-01-17 19:00:00,85822.71,-7136.5
1048-01-18 07:00:00,85936.29,-6199.7
1048-01-18 19:00:00,86072.15,-5322.3
1048-01-19 07:00:00,86201.24,-4282.0
1048-01-19 19:00:00,86336.84,-3394.0
1048-01-20 07:00:00,52.14,-2479.1
1048-01-20 19:00:00,175.22,-1504.5
1048-01-21 07:00:00,309.7,-621.7
1048-01-21 19:00:00,437.59,352.7
1048-01-22 07:00:00,547.26,1264.5
1048-01-22 19:00:00,684.7,2255.1
1048-01-23 07:00:00,826.45,3226.1
1048-01-23 19:00:00,959.24,4151.4
1048-01-24 07:00:00,1053.11,5142.2
1048-01-24 19:00:00,1208.36,6026.1
1048-01-25 07:00:00,1327.52,7002.4
1048-01-25 19:00:00,1446.41,7846.4
1048-01-26 07:00:00,1555.9,8899.4
1048-01-26 19:00:00,1703.09,9734.5
1048-01-27 07:00:00,1829.05,10697.5
1048-01-27 19:00:00,1939.5,11675.3
1048-01-28 07:00:00,2072.32,12590.8
1048-01-28 19:00:00,2197.66,13557.3
1048-01-29 07:00:00,2321.91,14542.8
1048-01-29 19:00:00,2447.79,15457.6
1048-01-30 07:00:00,2572.69,16351.0
1048-01-30 19:00:00,2704.7,17287.8
1048-01-31 07:00:00,2832.55,18260.1
1048-01-31 19:00:00,2953.15,19135.4
1048-02-01 07:00:00,3066.63,20051.9
1048-02-01 19:00:00,3208.41,21020.3
1048-02-02 07:00:00,3310.59,21856.5
1048-02-02 19:00:00,3447.13,22808.2
