Date,Right ascension (in seconds),Declination (in arc seconds)
1046-01-01 07:00:00,73055.09,-74829.4
1046-01-01 19:00:00,73204.32,-74367.4
1046-01-02 07:00:00,73365.19,-73894.0
1046-01-02 19:00:00,73531.5,-73396.3
1046-01-03 07:00:00,73676.99,-72914.9
1046-01-03 19:00:00,73833.79,-72419.6
1046-01-04 07:00:00,73998.54,-71909.3
1046-01-04 19:00:00,74158.43,-71388.8
1046-01-05 07:00:00,74321.33,-70868.0
1046-01-05 19:00:00,74442.94,-70329.5
1046-01-06 07:00:00,74623.13,-69782.8
1046-01-06 19:00:00,74771.14,-69240.3
1046-01-07 07:00:00,74939.92,-68671.1
1046-01-07 19:00:00,75087.52,-68107.8
1046-01-08 07:00:00,75249.45,-67529.5
1046-01-08 19:00:00,75397.74,-66944.6
1046-01-09 07:00:00,75531.16,-66353.5
1046-01-09 19:00:00,75700.9,-65749.7
1046-01-10 07:00:00,75849.12,-65150.1
1046-01-10 19:00:00,75993.81,-64530.2
1046-01-11 07:00:00,76138.7,-63896.3
1046-01-11 19:00:00,76307.41,-63274.8
1046-01-12 07:00:00,76473.59,-62638.5
1046-01-12 19:00:00,76616.53,-61997.1
1046-01-13 07:00:00,76759.23,-61343.7
1046-01-13 19:00:00,76912.94,-60679.6
1046-01-14 07:00:00,77068.46,-60007.0
1046-01-14 19:00:00,77212.78,-59330.5
1046-01-15 07:00:00,77368.55,-58658.1
1046-01-15 19:00:00,77515.24,-57970.1
1046-01-16 07:00:00,77665.62,-57273.1
1046-01-16 19:00:00,77809.35,-56566.6
1046-01-17 07:00:00,77950.77,-55864.1
1046-01-17 19:00:00,78104.3,-55145.3
1046-01-18 07:00:00,78265.91,-54433.9
1046-01-18 19:00:00,78386.18,-53705.0
1046-01-19 07:00:00,78544.28,-52968.6
1046-01-19 19:00:00,78692.44,-52231.5
1046-01-20 07:00:00,78839.75,-51479.4
1046-01-20 19:00:00,78971.94,-50744.2
1046-01-21 07:00:00,79130.98,-49982.2
1046-01-21 19:00:00,79282.98,-49218.7
1046-01-22 07:00:00,79426.9,-48453.2
1046-01-22 19:00:00,79558.32,-47684.9
1046-01-23 07:00:00,79718.12,-46912.1
1046-01-23 19:00:00,79850.9,-46131.7
1046-01-24 07:00:00,80007.3,-45335.6
1046-01-24 19:00:00,80157.01,-44552.7
1046-01-25 07:00:00,80297.31,-43742.3
1046-01-25 19:00:00,80428.81,-42937.5
1046-01-26 07:00:00,80564.71,-42135.7
1046-01-26 19:00:00,80721.02,-41327.4
1046-01-27 07:00:00,80857.17,-40510.8
1046-01-27 19:00:00,80990.98,-39686.2
1046-01-28 07:00:00,81147.11,-38857.6
1046-01-28 19:00:00,81290.77,-38030.4
1046-01-29 07:00:00,81415.27,-37197.0
1046-01-29 19:00:00,81562.07,-36356.3
1046-01-30 07:00:00,81700.81,-35515.4
1046-01-30 19:00:00,81841.68,-34672.9
1046-01-31 07:00:00,81988.86,-33815.6
1046-01-31 19:00:00,82132.21,-32970.7
1046-02-01 07:00:00,82258.77,-32114.3
1046-02-01 19:00:00,82413.06,-31243.8
1046-02-02 07:00:00,82547.3,-30392.6
1046-02-02 19:00:00,82684.5,-29519.5
1046-02-03 07:00:00,82825.6,-28650.0
1046-02-03 19:00:00,82965.13,-27775.6
1046-02-04 07:00:00,83118.78,-26898.7
1046-02-04 19:00:00,83232.41,-26010.9
1046-02-05 07:00:00,83388.59,-25136.7
1046-02-05 19:00:00,83526.2,-24250.2
1046-02-06 07:00:00,83650.66,-23366.0
1046-02-06 19:00:00,83807.61,-22464.0
1046-02-07 07:00:00,83941.66,-21574.9
1046-02-07 19:00:00,84085.15,-20680.2
1046-02-08 07:00:00,84212.96,-19793.4
1046-02-08 19:00:00,84362.76,-18884.5
1046-02-09 07:00:00,84504.23,-17986.1
1046-02-09 19:00:00,84611.31,-17082.3
1046-02-10 07:00:00,84781.38,-16173.2
1046-02-10 19:00:00,84905.95,-15267.9
1046-02-11 07:00:00,85046.67,-14360.6
1046-02-11 19:00:00,85164.32,-13447.5
1046-02-12 07:00:00,85307.03,-12532.3
1046-02-12 19:00:00,85446.83,-11618.2
1046-02-13 07:00:00,85585.11,-10700.3
1046-02-13 19:00:00,85732.9,-9793.6
1046-02-14 07:00:00,85870.85,-8870.9
1046-02-14 19:00:00,85980.71,-7952.7
1046-02-15 07:00:00,86134.37,-7035.8
1046-02-15 19:00:00,86264.66,-6114.9
1046-02-16 07:00:00,86398.64,-5185.7
1046-02-16 19:00:00,142.03,-4271.5
1046-02-17 07:00:00,268.36,-3347.9
1046-02-17 19:00:00,425.73,-2428.5
1046-02-18 07:00:00,544.46,-1500.7
1046-02-18 19:00:00,681.87,-577.3
1046-02-19 07:00:00,832.16,348.5
1046-02-19 19:00:00,963.58,1275.3
1046-02-20 07:00:00,1088.25,2188.6
1046-02-20 19:00:00,1228.33,3119.3
1046-02-21 07:00:00,1372.96,4041.8
1046-02-21 19:00:00,1497.97,4961.3
1046-02-22 07:00:00,1645.73,5891.6
1046-02-22 19:00:00,1769.92,6815.1
1046-02-23 07:00:00,1902.09,7736.2
1046-02-23 19:00:00,2053.86,8662.0
1046-02-24 07:00:00,2184.53,9586.7
1046-02-24 19:00:00,2298.03,10496.0
1046-02-25 07:00:00,2448.98,11421.2
1046-02-25 19:00:00,2585.21,12339.9
1046-02-26 07:00:00,2724.09,13256.0
1046-02-26 19:00:00,2857.48,14176.2
1046-02-27 07:00:00,2975.38,15093.7
1046-02-27 19:00:00,3124.41,16003.6
1046-02-28 07:00:00,3257.63,16919.8
1046-02-28 19:00:00,3417.07,17835.4
1046-03-01 07:00:00,3521.75,18730.7
1046-03-01 19:00:00,3671.12,19647.4
1046-03-02 07:00:00,3806.27,20557.1
1046-03-02 19:00:00,3932.57,21462.1
1046-03-03 07:00:00,4088.98,22358.5
1046-03-03 19:00:00,4211.96,23258.2
1046-03-04 07:00:00,4347.82,24168.2
1046-03-04 19:00:00,4492.32,25058.6
1046-03-05 07:00:00,4621.74,25948.4
1046-03-05 19:00:00,4770.56,26844.9
1046-03-06 07:00:00,4904.21,27726.3
1046-03-06 19:00:00,5030.7,28618.5
1046-03-07 07:00:00,5177.11,29500.5
1046-03-07 19:00:00,5325.93,30385.3
1046-03-08 07:00:00,5461.04,31266.0
1046-03-08 19:00:00,5595.8,32142.8
1046-03-09 07:00:00,5738.2,33006.3
1046-03-09 19:00:00,5865.23,33884.6
1046-03-10 07:00:00,6011.46,34744.9
1046-03-10 19:00:00,6157.54,35609.9
1046-03-11 07:00:00,6276.01,36476.8
1046-03-11 19:00:00,6431.58,37321.2
1046-03-12 07:00:00,6569.3,38177.4
1046-03-12 19:00:00,6709.25,39023.0
1046-03-13 07:00:00,6857.07,39870.5
1046-03-13 19:00:00,6968.09,40720.2
1046-03-14 07:00:00,7111.97,41551.7
1046-03-14 19:00:00,7258.42,42375.4
1046-03-15 07:00:00,7391.23,43206.8
1046-03-15 19:00:00,7544.84,44034.5
1046-03-16 07:00:00,7692.71,44851.7
1046-03-16 19:00:00,7823.55,45670.6
1046-03-17 07:00:00,7972.59,46482.7
1046-03-17 19:00:00,8108.07,47287.3
1046-03-18 07:00:00,8244.19,48088.4
1046-03-18 19:00:00,8381.95,48891.5
1046-03-19 07:00:00,8523.54,49681.8
1046-03-19 19:00:00,8664.39,50456.1
1046-03-20 07:00:00,8794.94,51242.6
1046-03-20 19:00:00,8939.46,52023.7
1046-03-21 07:00:00,9103.74,52795.5
1046-03-21 19:00:00,9250.19,53560.3
1046-03-22 07:00:00,9376.61,54317.8
1046-03-22 19:00:00,9520.91,55076.4
1046-03-23 07:00:00,9669.02,55823.4
1046-03-23 19:00:00,9816.83,56577.8
1046-03-24 07:00:00,9951.97,57303.6
1046-03-24 19:00:00,10106.22,58041.1
1046-03-25 07:00:00,10246.89,58767.4
1046-03-25 19:00:00,10388.54,59492.2
1046-03-26 07:00:00,10521.37,60202.7
1046-03-26 19:00:00,10676.1,60905.3
1046-03-27 07:00:00,10830.38,61615.4
1046-03-27 19:00:00,10977.57,62301.0
1046-03-28 07:00:00,11127.74,62989.9
1046-03-28 19:00:00,11262.62,63673.6
1046-03-29 07:00:00,11416.72,64348.2
1046-03-29 19:00:00,11566.39,65013.3
1046-03-30 07:00:00,11717.04,65674.2
1046-03-30 19:00:00,11859.26,66329.3
1046-03-31 07:00:00,12014.37,66973.7
1046-03-31 19:00:00,12153.83,67620.0
1046-04-01 07:00:00,12300.61,68246.8
1046-04-01 19:00:00,12461.18,68883.3
1046-04-02 07:00:00,12603.3,69486.0
1046-04-02 19:00:00,12739.55,70102.4
1046-04-03 07:00:00,12894.75,70701.8
1046-04-03 19:00:00,13045.04,71302.5
1046-04-04 07:00:00,13179.37,71873.5
1046-04-04 19:00:00,13340.44,72462.6
1046-04-05 07:00:00,13498.26,73039.8
1046-04-05 19:00:00,13635.8,73603.9
1046-04-06 07:00:00,13803.32,74154.4
1046-04-06 19:00:00,13952.84,74691.1
1046-04-07 07:00:00,14093.26,75241.1
1046-04-07 19:00:00,14247.7,75766.4
1046-04-08 07:00:00,14416.66,76296.8
1046-04-08 19:00:00,14570.27,76808.9
1046-04-09 07:00:00,14738.84,77307.5
1046-04-09 19:00:00,14848.73,77809.4
1046-04-10 07:00:00,15022.61,78289.0
1046-04-10 19:00:00,15169.12,78770.2
1046-04-11 07:00:00,15305.57,79241.2
1046-04-11 19:00:00,15465.9,79697.2
1046-04-12 07:00:00,15634.45,80155.8
1046-04-12 19:00:00,15777.31,80591.3
1046-04-13 07:00:00,15946.84,81032.5
1046-04-13 19:00:00,16079.72,81444.7
1046-04-14 07:00:00,16243.51,81860.7
1046-04-14 19:00:00,16398.06,82271.0
1046-04-15 07:00:00,16559.71,82672.2
1046-04-15 19:00:00,16711.46,83057.8
