Date,Right ascension,Declination
1002-01-01 07:00:00,21 01 15.74,-11 56 24.5
1002-01-01 19:00:00,21 00 05.69,-11 53 40.0
1002-01-02 07:00:00,20 59 02.11,-11 50 58.0
1002-01-02 19:00:00,20 57 48.90,-11 48 34.8
1002-01-03 07:00:00,20 56 42.42,-11 46 14.8
1002-01-03 19:00:00,20 55 26.48,-11 44 12.7
1002-01-04 07:00:00,20 54 17.51,-11 42 14.6
1002-01-04 19:00:00,20 52 59.27,-11 40 33.5
1002-01-05 07:00:00,20 51 48.26,-11 38 56.8
1002-01-05 19:00:00,20 50 28.21,-11 37 36.3
1002-01-06 07:00:00,20 49 15.63,-11 36 20.8
1002-01-06 19:00:00,20 47 54.26,-11 35 20.4
1002-01-07 07:00:00,20 46 40.60,-11 34 25.6
1002-01-07 19:00:00,20 45 18.43,-11 33 44.7
1002-01-08 07:00:00,20 44 04.19,-11 33 09.8
1002-01-08 19:00:00,20 42 41.73,-11 32 47.8
1002-01-09 07:00:00,20 41 27.42,-11 32 32.3
1002-01-09 19:00:00,20 40 05.20,-11 32 28.4
1002-01-10 07:00:00,20 38 51.34,-11 32 31.4
1002-01-10 19:00:00,20 37 29.87,-11 32 44.8
1002-01-11 07:00:00,20 36 16.94,-11 33 05.5
1002-01-11 19:00:00,20 34 56.75,-11 33 35.3
1002-01-12 07:00:00,20 33 45.25,-11 34 12.7
1002-01-12 19:00:00,20 32 26.81,-11 34 57.8
1002-01-13 07:00:00,20 31 17.21,-11 35 51.0
1002-01-13 19:00:00,20 30 01.01,-11 36 50.6
1002-01-14 07:00:00,20 28 53.74,-11 37 58.4
1002-01-14 19:00:00,20 27 40.22,-11 39 11.3
1002-01-15 07:00:00,20 26 35.72,-11 40 32.8
1002-01-15 19:00:00,20 25 25.29,-11 41 57.9
1002-01-16 07:00:00,20 24 23.93,-11 43 31.8
1002-01-16 19:00:00,20 23 16.97,-11 45 08.1
1002-01-17 07:00:00,20 22 19.12,-11 46 53.4
1002-01-17 19:00:00,20 21 15.97,-11 48 39.7
1002-01-18 07:00:00,20 20 21.95,-11 50 35.1
1002-01-18 19:00:00,20 19 22.92,-11 52 30.3
1002-01-19 07:00:00,20 18 32.99,-11 54 34.7
1002-01-19 19:00:00,20 17 38.35,-11 56 37.7
1002-01-20 07:00:00,20 16 52.76,-11 58 49.9
1002-01-20 19:00:00,20 16 02.73,-12 00 59.5
1002-01-21 07:00:00,20 15 21.69,-12 03 18.4
1002-01-21 19:00:00,20 14 36.46,-12 05 33.4
1002-01-22 07:00:00,20 14 00.13,-12 07 57.9
1002-01-22 19:00:00,20 13 19.85,-12 10 17.3
1002-01-23 07:00:00,20 12 48.37,-12 12 46.2
1002-01-23 19:00:00,20 12 13.16,-12 15 08.9
1002-01-24 07:00:00,20 11 46.62,-12 17 41.1
1002-01-24 19:00:00,20 11 16.57,-12 20 06.1
1002-01-25 07:00:00,20 10 55.04,-12 22 40.5
1002-01-25 19:00:00,20 10 30.19,-12 25 06.7
1002-01-26 07:00:00,20 10 13.71,-12 27 42.3
1002-01-26 19:00:00,20 09 54.09,-12 30 08.6
1002-01-27 07:00:00,20 09 42.67,-12 32 44.5
1002-01-27 19:00:00,20 09 28.27,-12 35 10.0
1002-01-28 07:00:00,20 09 21.90,-12 37 45.1
1002-01-28 19:00:00,20 09 12.71,-12 40 08.9
1002-01-29 07:00:00,20 09 11.36,-12 42 42.1
1002-01-29 19:00:00,20 09 07.32,-12 45 03.3
1002-01-30 07:00:00,20 09 10.95,-12 47 33.9
1002-01-30 19:00:00,20 09 12.01,-12 49 51.5
1002-01-31 07:00:00,20 09 20.54,-12 52 18.4
1002-01-31 19:00:00,20 09 26.61,-12 54 31.7
1002-02-01 07:00:00,20 09 39.97,-12 56 54.1
1002-02-01 19:00:00,20 09 50.96,-12 59 02.2
1002-02-02 07:00:00,20 10 09.05,-13 01 19.3
1002-02-02 19:00:00,20 10 24.86,-13 03 21.5
1002-02-03 07:00:00,20 10 47.56,-13 05 32.5
1002-02-03 19:00:00,20 11 08.07,-13 07 27.9
1002-02-04 07:00:00,20 11 35.27,-13 09 32.1
1002-02-04 19:00:00,20 12 00.35,-13 11 20.2
1002-02-05 07:00:00,20 12 31.92,-13 13 16.9
1002-02-05 19:00:00,20 13 01.43,-13 14 56.9
1002-02-06 07:00:00,20 13 37.24,-13 16 45.5
1002-02-06 19:00:00,20 14 11.05,-13 18 17.0
1002-02-07 07:00:00,20 14 50.96,-13 19 56.8
1002-02-07 19:00:00,20 15 28.91,-13 21 19.1
1002-02-08 07:00:00,20 16 12.78,-13 22 49.7
1002-02-08 19:00:00,20 16 54.73,-13 24 02.4
1002-02-09 07:00:00,20 17 42.42,-13 25 23.3
1002-02-09 19:00:00,20 18 28.23,-13 26 25.9
1002-02-10 07:00:00,20 19 19.59,-13 27 36.5
1002-02-10 19:00:00,20 20 09.10,-13 28 28.6
1002-02-11 07:00:00,20 21 04.00,-13 29 28.5
1002-02-11 19:00:00,20 21 57.08,-13 30 09.7
1002-02-12 07:00:00,20 22 55.37,-13 30 58.5
1002-02-12 19:00:00,20 23 51.87,-13 31 28.4
1002-02-13 07:00:00,20 24 53.42,-13 32 05.8
1002-02-13 19:00:00,20 25 53.21,-13 32 24.0
1002-02-14 07:00:00,20 26 57.88,-13 32 49.7
1002-02-14 19:00:00,20 28 00.81,-13 32 55.9
1002-02-15 07:00:00,20 29 08.48,-13 33 09.5
1002-02-15 19:00:00,20 30 14.42,-13 33 03.5
1002-02-16 07:00:00,20 31 24.96,-13 33 04.6
1002-02-16 19:00:00,20 32 33.79,-13 32 46.1
1002-02-17 07:00:00,20 33 47.07,-13 32 34.6
1002-02-17 19:00:00,20 34 58.65,-13 32 03.3
1002-02-18 07:00:00,20 36 14.56,-13 31 38.9
1002-02-18 19:00:00,20 37 28.78,-13 30 54.6
1002-02-19 07:00:00,20 38 47.20,-13 30 17.0
1002-02-19 19:00:00,20 40 03.94,-13 29 19.5
1002-02-20 07:00:00,20 41 24.76,-13 28 28.6
1002-02-20 19:00:00,20 42 43.91,-13 27 17.7
1002-02-21 07:00:00,20 44 07.01,-13 26 13.2
1002-02-21 19:00:00,20 45 28.47,-13 24 48.8
1002-02-22 07:00:00,20 46 53.76,-13 23 30.6
1002-02-22 19:00:00,20 48 17.42,-13 21 52.4
1002-02-23 07:00:00,20 49 44.79,-13 20 20.3
1002-02-23 19:00:00,20 51 10.55,-13 18 28.3
1002-02-24 07:00:00,20 52 39.92,-13 16 42.1
1002-02-24 19:00:00,20 54 07.67,-13 14 36.1
1002-02-25 07:00:00,20 55 38.94,-13 12 35.8
1002-02-25 19:00:00,20 57 08.61,-13 10 15.7
1002-02-26 07:00:00,20 58 41.70,-13 08 01.1
1002-02-26 19:00:00,21 00 13.19,-13 05 26.8
1002-02-27 07:00:00,21 01 48.01,-13 02 57.9
1002-02-27 19:00:00,21 03 21.24,-13 00 09.2
1002-02-28 07:00:00,21 04 57.71,-12 57 25.8
1002-02-28 19:00:00,21 06 32.60,-12 54 22.8
1002-03-01 07:00:00,21 08 10.65,-12 51 24.9
1002-03-01 19:00:00,21 09 47.12,-12 48 07.5
1002-03-02 07:00:00,21 11 26.66,-12 44 54.9
1002-03-02 19:00:00,21 13 04.64,-12 41 23.0
1002-03-03 07:00:00,21 14 45.61,-12 37 55.8
1002-03-03 19:00:00,21 16 25.02,-12 34 09.4
1002-03-04 07:00:00,21 18 07.35,-12 30 27.6
1002-03-04 19:00:00,21 19 48.12,-12 26 26.7
1002-03-05 07:00:00,21 21 31.73,-12 22 30.3
1002-03-05 19:00:00,21 23 13.79,-12 18 15.0
1002-03-06 07:00:00,21 24 58.61,-12 14 03.9
1002-03-06 19:00:00,21 26 41.89,-12 09 34.3
1002-03-07 07:00:00,21 28 27.87,-12 05 08.7
1002-03-07 19:00:00,21 30 12.30,-12 00 24.7
1002-03-08 07:00:00,21 31 59.36,-11 55 44.7
