Date,Right ascension (in seconds),Declination (in arc seconds)
1003-01-01 07:00:00,76873.24,-61803.6
1003-01-01 19:00:00,76990.96,-61131.3
1003-01-02 07:00:00,77161.1,-60434.6
1003-01-02 19:00:00,77304.14,-59730.5
1003-01-03 07:00:00,77461.45,-59042.4
1003-01-03 19:00:00,77581.97,-58325.9
1003-01-04 07:00:00,77731.26,-57625.2
1003-01-04 19:00:00,77872.82,-56913.2
1003-01-05 07:00:00,78038.81,-56213.0
1003-01-05 19:00:00,78206.59,-55451.3
1003-01-06 07:00:00,78329.26,-54733.4
1003-01-06 19:00:00,78467.79,-53986.7
1003-01-07 07:00:00,78623.62,-53205.2
1003-01-07 19:00:00,78778.96,-52458.8
1003-01-08 07:00:00,78910.8,-51712.3
1003-01-08 19:00:00,79051.52,-50951.0
1003-01-09 07:00:00,79208.52,-50154.2
1003-01-09 19:00:00,79340.46,-49400.7
1003-01-10 07:00:00,79499.17,-48607.1
1003-01-10 19:00:00,79627.45,-47812.8
1003-01-11 07:00:00,79809.25,-47017.5
1003-01-11 19:00:00,79926.97,-46216.2
1003-01-12 07:00:00,80073.99,-45421.2
1003-01-12 19:00:00,80210.36,-44614.5
1003-01-13 07:00:00,80364.55,-43790.1
1003-01-13 19:00:00,80495.82,-42955.6
1003-01-14 07:00:00,80640.86,-42162.0
1003-01-14 19:00:00,80787.54,-41336.1
1003-01-15 07:00:00,80947.26,-40514.4
1003-01-15 19:00:00,81079.46,-39624.7
1003-01-16 07:00:00,81214.97,-38826.8
1003-01-16 19:00:00,81332.51,-37974.0
1003-01-17 07:00:00,81478.22,-37114.3
1003-01-17 19:00:00,81630.97,-36267.5
1003-01-18 07:00:00,81778.6,-35391.7
1003-01-18 19:00:00,81902.56,-34529.3
1003-01-19 07:00:00,82039.46,-33665.3
1003-01-19 19:00:00,82187.21,-32815.9
1003-01-20 07:00:00,82328.39,-31927.4
1003-01-20 19:00:00,82461.76,-31055.4
1003-01-21 07:00:00,82607.46,-30153.3
1003-01-21 19:00:00,82726.72,-29282.0
1003-01-22 07:00:00,82872.51,-28399.9
1003-01-22 19:00:00,83017.5,-27531.5
1003-01-23 07:00:00,83158.17,-26638.9
1003-01-23 19:00:00,83287.97,-25732.0
1003-01-24 07:00:00,83419.71,-24831.6
1003-01-24 19:00:00,83580.21,-23923.9
1003-01-25 07:00:00,83706.19,-23029.6
1003-01-25 19:00:00,83838.83,-22137.8
1003-01-26 07:00:00,83972.3,-21203.0
1003-01-26 19:00:00,84115.93,-20304.1
1003-01-27 07:00:00,84263.5,-19408.8
1003-01-27 19:00:00,84364.75,-18493.6
1003-01-28 07:00:00,84535.83,-17557.6
1003-01-28 19:00:00,84655.55,-16656.9
1003-01-29 07:00:00,84800.11,-15716.4
1003-01-29 19:00:00,84947.38,-14806.5
1003-01-30 07:00:00,85070.49,-13885.8
1003-01-30 19:00:00,85206.42,-12973.9
1003-01-31 07:00:00,85332.53,-12022.3
1003-01-31 19:00:00,85481.91,-11110.5
1003-02-01 07:00:00,85626.47,-10164.5
1003-02-01 19:00:00,85742.83,-9237.7
